channel	target_frequency_khz	threshold_adc
1010	5.544	-2730
1011	4.848	-2637
1020	4.997	21.6
1021	5.709	-2618
1030	6.706	-3042
1031	6.954	-2700
1040	5.376	-2540
1041	5.759	-3028
1050	7.389	-2645
1051	7.18	-2121
1060	5.191	57.16
1061	5.849	-3198
1070	6.635	-2951
1071	6.757	-2870
1080	5.063	-2749
1081	5.095	-2426
2010	2.121	575
2011	2.257	580.9
2021	1.971	539.4
2040	4.576	559.1
2050	3.658	579
2051	3.061	593.2
2060	3.642	641.4
2061	3.001	663.4
2070	1.077	-8.82
2071	1.06	-104.5
2080	3.273	589.1
2081	3.201	590.1
