event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
1,1020,1479,-32,0,2070,524,2010,73
1,1021,1159,-32,16,2070,524,2010,73
1,1060,977,-32,0,2070,524,2010,73
1,1061,1104,-32,16,2070,524,2010,73
1,1080,1222,-32,-32,2070,524,2010,73
1,1081,1421,-32,0,2070,524,2010,73
1,2030,437,-32,16,2070,524,2010,73
1,2031,322,-32,-16,2070,524,2010,73
1,2040,110,-32,-16,2070,524,2010,73
1,2041,479,96,32,2080,232,2010,73
2,1020,1104,32,32,2080,333,2021,317
2,1021,808,32,48,2080,333,2021,317
2,1040,851,32,48,2080,333,2021,317
2,1041,505,32,32,2080,333,2021,317
2,1080,762,32,32,2080,333,2021,317
2,1081,994,32,48,2080,333,2021,317
2,2031,162,32,-32,2080,333,2021,317
2,2040,191,32,-16,2080,333,2021,317
2,2041,270,32,-16,2080,333,2021,317
3,1020,841,-32,-16,2070,462,2010,314
3,1020,842,64,64,2080,344,2010,315
3,1021,937,64,80,2080,344,2010,315
3,1040,1049,-48,16,2071,467,2021,363
3,1041,492,-48,0,2071,467,2021,363
3,1060,785,-64,0,2071,467,2010,312
3,1060,793,-32,-16,2070,462,2010,314
3,1060,795,64,0,2080,344,2010,315
3,1061,64,-64,0,2071,467,2010,312
3,1061,74,64,-16,2080,344,2010,315
3,1080,884,-64,0,2071,467,2010,312
3,1080,886,64,32,2080,344,2010,315
3,1081,24,-64,0,2071,467,2010,312
3,1081,26,64,32,2080,344,2010,315
3,2031,196,96,0,2081,293,2010,314
3,2040,256,-64,0,2071,467,2010,312
3,2040,262,96,0,2081,293,2010,314
3,2041,423,64,16,2080,343,2010,314
3,2050,392,48,0,2080,338,2010,312
3,2050,396,96,-16,2081,293,2010,314
3,2050,398,64,-32,2080,344,2010,315
3,2051,138,48,0,2080,338,2010,312
3,2051,142,64,-16,2080,343,2010,314
3,2060,228,-48,0,2071,467,2021,363
3,2060,232,-32,0,2070,462,2010,314
3,2060,234,64,64,2080,344,2010,315
3,2061,110,-64,0,2071,467,2010,312
3,2061,114,-32,-16,2070,462,2010,314
4,1020,834,32,32,2080,380,2010,625
4,1021,1313,32,32,2080,380,2010,625
4,1040,1077,32,32,2080,380,2010,625
4,1041,902,32,32,2080,380,2010,625
4,1060,1367,32,32,2080,380,2010,625
4,1061,1421,32,16,2080,380,2010,625
4,1080,1257,32,32,2080,380,2010,625
4,1081,731,32,32,2080,380,2010,625
4,2030,605,32,0,2080,380,2010,625
4,2031,553,48,0,2081,206,2010,625
4,2040,263,32,16,2080,380,2010,625
4,2041,435,48,0,2081,206,2010,625
5,1040,644,96,64,2080,429,2010,267
5,1041,688,96,16,2080,429,2010,267
5,1060,851,96,48,2080,429,2010,267
5,1060,859,16,48,2080,435,2010,270
5,1060,887,128,96,2080,451,2010,280
5,1061,1123,96,48,2080,429,2010,267
5,1061,1132,16,16,2080,435,2010,270
5,1061,1163,128,80,2080,451,2010,280
5,1080,1070,96,32,2080,429,2010,267
5,1080,1079,16,16,2080,435,2010,270
5,1080,1109,128,112,2080,451,2010,280
5,1081,6,96,32,2080,429,2010,267
5,1081,15,16,16,2080,435,2010,270
5,1081,45,128,112,2080,451,2010,280
5,2040,207,96,-48,2080,429,2010,267
5,2041,292,96,-64,2080,429,2010,267
5,2050,398,48,-32,2081,362,2010,270
5,2050,417,128,32,2080,451,2010,280
5,2051,249,48,-16,2081,362,2010,270
5,2051,262,128,32,2080,451,2010,280
5,2060,176,16,16,2080,435,2010,270
5,2060,195,128,96,2080,451,2010,280
5,2061,492,16,32,2080,435,2010,270
5,2061,509,128,96,2080,451,2010,280
6,1020,1158,-48,-16,2070,501,2010,560
6,1040,587,80,64,2080,266,2010,562
6,1040,611,64,48,2081,375,2010,571
6,1041,683,80,64,2080,266,2010,562
6,1041,708,64,32,2081,375,2010,571
6,1060,856,80,48,2080,266,2010,562
6,1060,882,112,48,2081,373,2010,569
6,1060,889,64,48,2081,375,2010,571
6,1061,968,80,64,2080,266,2010,562
6,1061,996,112,64,2081,373,2010,569
6,1061,1004,64,48,2081,375,2010,571
6,1080,1244,80,48,2080,266,2010,562
6,1080,1265,112,48,2081,373,2010,569
6,1080,1271,64,48,2081,375,2010,571
6,1081,1289,80,64,2080,266,2010,562
6,1081,1312,112,48,2081,373,2010,569
6,1081,1318,64,32,2081,375,2010,571
6,2030,386,-48,-64,2070,501,2010,560
6,2031,223,-48,-48,2070,501,2010,560
6,2031,226,80,64,2080,266,2010,562
6,2031,250,64,-16,2081,375,2010,571
6,2040,460,-48,-32,2070,501,2010,560
6,2040,463,80,16,2080,266,2010,562
6,2040,482,112,48,2081,373,2010,569
6,2040,490,64,-16,2081,375,2010,571
6,2041,419,-48,-48,2070,501,2010,560
6,2041,422,80,0,2080,266,2010,562
6,2041,447,64,0,2081,375,2010,571
6,2050,321,80,-16,2080,266,2010,562
6,2050,340,112,-16,2081,373,2010,569
6,2050,343,64,0,2081,375,2010,571
6,2051,132,-48,-64,2070,501,2010,560
6,2051,140,80,0,2080,266,2010,562
6,2051,157,112,16,2081,373,2010,569
6,2051,160,64,0,2081,375,2010,571
6,2060,179,-48,0,2070,501,2010,560
6,2060,188,80,48,2080,266,2010,562
6,2060,205,112,32,2081,373,2010,569
6,2060,209,64,32,2081,375,2010,571
6,2061,527,-48,0,2070,501,2010,560
6,2061,534,80,32,2080,266,2010,562
6,2061,550,112,64,2081,373,2010,569
6,2061,551,64,32,2081,375,2010,571
7,1020,1125,-16,-16,2071,500,2010,388
7,1021,666,-16,0,2071,500,2010,388
7,2031,186,-48,-32,2071,500,2021,467
7,2040,271,-48,0,2071,500,2021,467
7,2041,345,-48,0,2071,500,2021,467
7,2050,413,-48,-48,2071,500,2021,467
7,2051,303,-48,-48,2071,500,2021,467
7,2060,226,-48,-16,2071,500,2021,467
7,2061,483,-48,0,2071,500,2021,467
8,1020,1029,80,80,2080,458,2010,523
8,1021,890,80,80,2080,458,2010,523
8,1040,1096,0,32,2081,102,2010,512
8,1041,540,0,16,2081,102,2010,512
8,1060,761,0,0,2081,102,2010,512
8,1060,778,80,64,2080,458,2010,523
8,1061,965,0,-16,2081,102,2010,512
8,1061,983,80,64,2080,458,2010,523
8,1080,921,0,0,2081,102,2010,512
8,1080,938,80,80,2080,458,2010,523
8,1081,585,0,16,2081,102,2010,512
8,1081,603,80,64,2080,458,2010,523
8,2030,485,80,176,2080,458,2010,523
8,2050,354,48,0,2080,444,2010,512
8,2050,371,80,16,2080,458,2010,523
8,2051,393,48,-16,2080,444,2010,512
8,2051,408,80,32,2080,458,2010,523
8,2060,285,0,-16,2081,102,2010,512
8,2060,299,80,80,2080,458,2010,523
8,2061,322,0,0,2081,102,2010,512
8,2061,334,80,80,2080,458,2010,523
9,1020,1218,160,144,2081,298,2010,149
9,1020,1246,-16,16,2081,313,2010,161
9,1021,1373,-16,16,2081,313,2010,161
9,1040,731,160,160,2081,298,2010,149
9,1040,759,80,64,2080,472,2010,160
9,1040,761,-16,16,2081,313,2010,161
9,1041,25,160,160,2081,298,2010,149
9,1041,54,80,64,2080,472,2010,160
9,1041,56,-16,16,2081,313,2010,161
9,1060,1451,48,64,2080,447,2010,142
9,1060,1467,-48,0,2071,638,2010,148
9,1060,1499,80,80,2080,472,2010,160
9,1061,918,48,48,2080,447,2010,142
