sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,0.35170320057630955,0.19045553602515974,0,-3,4
1,0.35911289492641763,0.18230027174064184,0,-3,4
2,0.38689924873932285,0.17414794525513003,0,-3,4
3,0.40542348461459299,0.16759980702954494,0,-3,4
4,0.47756509210661729,0.16322615687140973,0,-3,4
5,0.52408150663785114,0.15988875604481206,0,-3,4
6,0.50154368632293922,0.15663188974916362,0,-3,4
7,0.52943295255737366,0.15307805960620322,0,-3,4
8,0.54661932695276316,0.14919442976941474,0,-3,4
9,0.59323865390552644,0.14469623599787451,0,-3,4
10,0.57481733045178551,0.1401742752368054,0,-2.5,3.5
11,0.5462076772666461,0.13500971778574827,0,-3,3.5
12,0.54044458166100651,0.13060236464765157,0,-3,3
13,0.52346403210867554,0.12492549817190521,0,-2.5,3
14,0.52860965318513942,0.11879382229506823,0,-2.5,3
15,0.52171452094267778,0.11276367553720812,0,-2.5,3
16,0.5038077595965833,0.10667054560152606,0,-2.5,3
17,0.53159411340948848,0.10093357308378356,0,-2,3
18,0.54373777914994337,0.095602688638414146,0,-2,3
19,0.56143871565297931,0.090929642159674806,0,-2,3
20,0.55474940825357621,0.085164107904367112,0,-2,3
21,0.56092415354533287,0.077040386227220939,0,-2,3
22,0.59251826695482146,0.067860584464041016,0,-2,3
23,0.55896881753627659,0.060354349937938645,0,-2,3
24,0.58747555829988685,0.055309071578963476,0,-2,3
25,0.55505814551816401,0.053611541485728248,0,-2,3
26,0.57955130184213233,0.055881762421991187,0,-2,3
27,0.58490274776165485,0.062323918706747722,0,-2,3
28,0.61557064937737982,0.071513056658427165,0,-2,3
29,0.64232787897499233,0.082312343516493844,0,-2,3
30,0.66301327570237722,0.093873443395344758,0,-2.5,3
31,0.66157250180096738,0.10458313061041603,0,-2.5,3
32,0.69234331583822162,0.1141969357962332,0,-3,3
33,0.70139960893279818,0.12303185139897695,0,-3,3
34,0.71508696099619229,0.13087285684138925,0,-3,3
35,0.70973551507666977,0.13847402219781677,0,-3,3
36,0.69254914068128026,0.14542725925829933,0,-3,3
37,0.72074714418030261,0.15287719359812657,0,-3,3
38,0.76108881341977974,0.16004105862840554,0,-3,3
39,0.780024698981167,0.16737726276233106,0,-3,3
40,0.75728105382319644,0.17420474679365838,0,-3,3
41,0.76263249974271896,0.18017236818634252,0,-3,3
42,0.78270042194092826,0.18545955217272028,0,-3,3
43,0.82242461665122979,0.19042290261732281,0,-3,3
44,0.83847895440979725,0.19473060858333835,0,-3,3
45,0.82633528866934236,0.19850401828843836,0,-3,3
46,0.81542657198723889,0.20202904475160885,0,-3,3
47,0.83683235566532876,0.20658429254721045,0,-3.5,3
48,0.79700524853349797,0.21129599776410424,0,-4,3
49,0.81902850674076366,0.21669951702764131,0,-4,3
50,0.81933724400535146,0.22178208369385927,0,-4,3.5
51,0.8128537614490069,0.22710525144418769,-0.5,-4,3.5
52,0.85196048163013272,0.23265079391454183,-0.5,-4,4
53,0.85772357723577231,0.23847087939630598,0,-4,4
54,0.92688072450344761,0.24555942644881432,0,-4,4
55,0.98862817742101472,0.25621403461793979,0,-4,4
56,1.0883503138828856,0.27127251602344421,-0.5,-4,4
57,1.2722548111557066,0.29161919109485662,0,-4,4
58,1.5142019141710406,0.32171034028581408,0,-4,4
59,1.9344962436966142,0.36538024897483018,-0.5,-4,4.5
60,2.6705258824740148,0.42573411196862038,0,-4,5
61,4.3969846660491925,0.51018450335076682,0,-4,6
62,10.719615107543481,0.64092216417861125,2,-3,15
63,36.774981990326232,0.87746588291584393,18,2,60
64,119.61464443758362,1.3912743034127808,86,26,201.7199999999998
65,302.12488422352578,2.4436882066460179,244,102,495.5
66,592.13620458989396,4.1399059605968507,491,231.5,969
67,950.75985386436139,6.2908214188884601,787,388,1562.2199999999998
68,1321.9087681383144,8.5637769271054811,1087,546,2187
69,1664.7118966759288,10.704723849928019,1365,689.27999999999997,2762.4399999999996
70,1961.5520736852939,12.60271719304094,1604,809.27999999999997,3261.599999999999
71,2208.2315014922301,14.226406933536509,1798,909,3674.7199999999998
72,2403.8855099310485,15.554901768918027,1950,986.77999999999997,4007.4399999999996
73,2548.2230626736646,16.565085499863773,2066,1042,4242.8799999999992
74,2642.9190593804674,17.247809772992614,2134,1077.28,4399.7199999999993
75,2692.5403416692393,17.620339090105219,2174,1096.28,4489.2199999999993
76,2703.8804672223937,17.72119806141918,2178,1101.5599999999999,4508.4399999999996
77,2684.2356179890912,17.597061822654034,2158,1094.5599999999999,4466.4399999999996
78,2640.5604095914377,17.294689974020457,2121,1080,4392.8799999999992
79,2579.630492950499,16.861355640303383,2071,1059.5,4282.7199999999993
80,2508.0379232273335,16.345635784292284,2013,1032.5599999999999,4161.4399999999996
81,2432.047699907379,15.793091214539583,1953,1006.5,4024.8799999999992
82,2357.6734074302767,15.24533076925634,1898,977,3896.4399999999996
83,2291.1419676854998,14.748480826484707,1845,953.55999999999995,3783.4399999999996
84,2238.0837192549143,14.349494761254732,1808.5,934.27999999999997,3689.7199999999998
85,2200.3023052382423,14.067330874086236,1781,919.77999999999997,3630.7199999999998
86,2174.8906555521253,13.88068446087156,1765,909.77999999999997,3584.6599999999994
87,2156.5177009365029,13.751993785138637,1748,899.27999999999997,3556.4399999999996
88,2140.3291653802612,13.646548139173294,1734,892,3533
89,2123.5186271482967,13.545838297661325,1720,884,3515.4399999999996
90,2105.0740454872903,13.442462237979715,1705,876,3487.4399999999996
91,2084.3832973139856,13.331020390333094,1687.5,867,3461
92,2061.0108572604713,13.20488985015807,1668,856.77999999999997,3426.7199999999998
93,2034.9919213749099,13.060650020385236,1646,846,3384.7199999999998
94,2006.8863332304209,12.898716172983915,1624,835,3337.6599999999994
95,1977.3428527323249,12.723159628378561,1601,822,3290.4399999999996
96,1947.0808377071112,12.53906841119265,1577,810,3239.7199999999998
97,1916.7121025007718,12.349387627146788,1555,797.55999999999995,3182.4399999999996
98,1886.8127508490275,12.158999209835367,1531,783.5,3130.6599999999994
99,1858.0849542039725,11.974695332019758,1510,772,3085.7199999999998
100,1831.0871153648245,11.801676434589744,1490,760,3041.2199999999998
101,1806.2054646495833,11.642550465885499,1469,749.27999999999997,2993.4399999999996
102,1783.7867140063806,11.500925764993729,1450,739.27999999999997,2953.2199999999998
103,1764.1347638159925,11.379749586619623,1434,731.77999999999997,2922
104,1747.1157250180097,11.27869648288525,1420,724,2890.4399999999996
105,1732.2634043429041,11.194323746206189,1407,717,2870.4399999999996
106,1718.6005454358342,11.119383653260698,1394,710,2849
107,1705.2640218174333,11.046850440358199,1383,701,2833.4399999999996
108,1691.7776577132861,10.97403555280281,1375,695,2814
109,1677.8606051250385,10.898309286577225,1362,688.5,2791.4399999999996
110,1663.3263867448802,10.819352157740052,1349,681,2764.5
111,1648.0099310486776,10.734686734580919,1335,674.27999999999997,2740
112,1632.0276319851805,10.643617126655347,1321,666,2711.2199999999998
113,1615.5059689204486,10.548624279569374,1307,657.77999999999997,2685
114,1598.6934753524749,10.450935845067036,1293,650.77999999999997,2662.1599999999994
115,1581.6714520942678,10.350456524092385,1279,643,2633
116,1564.5710095708553,10.247042657275708,1266,635,2601.7199999999998
117,1547.536739734486,10.142216243042512,1253,626,2570.8799999999992
118,1530.6486055366884,10.03762150918887,1241,618,2539.1599999999994
119,1513.9594010497067,9.9336324274019621,1226.5,611.5,2514.2199999999998
120,1497.5575280436349,9.8299170520973433,1215.5,603,2486.7199999999998
121,1481.4303282906246,9.7282479248136529,1202,596,2460.4399999999996
122,1465.64603272615,9.6294694691735376,1190,589,2433.4399999999996
123,1450.1620356076978,9.5339030561499207,1176,581.77999999999997,2414
124,1434.8345682823917,9.4401474133245262,1162.5,577,2385.5
125,1419.6402696305445,9.3476935836045296,1149,569.5,2360
126,1404.4965009776679,9.2561401365997025,1137,563.27999999999997,2336.4399999999996
127,1389.2838839147885,9.1637917807035798,1123.5,557,2309
128,1374.0842338170216,9.0713876747081361,1109.5,550.27999999999997,2286.4399999999996
129,1358.9014613563857,8.9787833775272947,1097,543.77999999999997,2262
130,1343.6962539878564,8.886588818491596,1084,537,2235
