sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,0.1080301918440088,0.079387241659342689,0,-3,4
1,0.13675437676905336,0.07684036882022785,0,-3,4
2,0.13738337351923682,0.074202892010883342,0,-3,4
3,0.14854806583499319,0.07199281574723132,0,-3,4
4,0.12983541251703534,0.069416583334162396,0,-3,4
5,0.13581088164377816,0.066809930128122683,0,-3,3.5
6,0.11358632980396267,0.064300396622717401,0,-3,3
7,0.10546178844742636,0.061727489376591088,0,-3,3
8,0.10252647027990355,0.059410286196593338,0,-3,3
9,0.1209770416186183,0.05755746281430138,0,-3,3
10,0.1224447007023797,0.055745145136100668,0,-3,3
11,0.12789600587063635,0.053844568710763499,0,-2.5,3
12,0.11929971695146242,0.051873891139407165,0,-2.5,3
13,0.11206625432435266,0.049655978792138955,0,-2.5,3
14,0.096917915924101053,0.047455607797546519,0,-2.5,3
15,0.087325715483803329,0.045053065852236694,0,-2,3
16,0.057815284621029459,0.042573644407147955,0,-2,3
17,0.060855435580249501,0.039998496927394565,0,-2,3
18,0.03302232938463151,0.03733531567456664,0,-2,3
19,0.066254324352657518,0.034286661242858951,0,-2,3
20,0.066935737498689585,0.030686072543770943,0,-2,2.5
21,0.071915295104308621,0.026994481235015202,0,-2,2.5
22,0.073645036167313133,0.023627162339087789,0,-2,2
23,0.084390397316280535,0.020780630031746204,0,-2,2
24,0.093772932173183776,0.019212363281409659,0,-2,2
25,0.10881643778173813,0.019428729372512509,0,-2,2
26,0.12118670720201279,0.021169078112969707,0,-2,2
27,0.15620085962889191,0.023833433647100978,0,-2,2
28,0.15966034175490093,0.027500410956914228,0,-2,2
29,0.17250235873781319,0.031412451999318663,0,-2.5,2
30,0.18880385784673445,0.035574578561290628,0,-2.5,2.5
31,0.18885627424258308,0.039765919697110623,0,-2.5,2.5
32,0.18188489359471643,0.04399088855846911,0,-3,2.5
33,0.20809309151902716,0.0480774220228695,0,-3,2.5
34,0.21406856064576998,0.052246404321088895,0,-3,2.5
35,0.20227487157983018,0.056413744457509934,0,-3,2.5
36,0.18943285459691792,0.060321304579365999,0,-3,2.5
37,0.20458119299716951,0.064145259497349338,0,-3,2.5
38,0.22009644616836146,0.068002583186454052,0,-3,3
39,0.22523325296152635,0.071795462998723344,0,-3,3
40,0.25196561484432328,0.075453250091755936,0,-3,3
41,0.27455708145507912,0.079219420599888873,0,-3,3
42,0.27466191424677638,0.083016166218687348,0,-3,3
43,0.27497641262186812,0.086807529461775126,0,-3,3
44,0.33897683195303491,0.090571828807411575,0,-3,3
45,0.37593039102631304,0.09470014434201017,0,-3.5,3
46,0.43107243945906282,0.099952225294408392,0,-4,3
47,0.52500262081979243,0.10644457875077143,0,-4,3
48,0.61531607086696716,0.11441174964730623,0,-4,3
49,0.72685816123283364,0.1241297294919869,0,-4,3
50,0.8723136597127582,0.13565885328297073,0,-4,3
51,1.0486424153475207,0.14854368528586073,0,-4,3.5
52,1.2600901562008597,0.16289872500297609,0,-4,4
53,1.5316595030925673,0.17972582485098998,0,-4,4
54,1.9537163224656673,0.20027710079737873,0,-4,4
55,2.6605514204843277,0.22759275397433465,0,-4,4
56,4.065468078414928,0.26734066519975774,0,-4,5.5
57,7.7525946115945068,0.32765341421266314,1,-3.5,10
58,19.32167942132299,0.42396193431817558,6.5,-1,29
59,53.660708669671877,0.58525596192958151,33,8,89
60,132.97646503826397,0.87216103486387619,104,41,217
61,270.20258936995492,1.3881077713004593,224,107,434
62,455.41692001257991,2.1822402109835295,379,191,725
63,664.22502358737813,3.1683558050492535,547,279,1058
64,874.11804172345114,4.2144925243346911,710,363,1390
65,1071.7994548694833,5.2284631166671574,866,440,1706.5
66,1251.2838347835202,6.1668270399027154,1004,510.5,2000.6800000000003
67,1410.0624803438516,7.0090649795096702,1125,573.5,2254
68,1547.047803753014,7.7447907239791318,1232.75,625,2479.5
69,1662.3213649229479,8.368131668112424,1318,670,2661.5
70,1757.0366390606982,8.8803477799161961,1391,707,2812.6800000000003
71,1833.2077261767481,9.289381684837096,1448,737,2936.8400000000001
72,1893.1360729636231,9.6075024731011709,1493,761.16000000000008,3032
73,1939.2908061641681,9.848402011874585,1529,781,3101
74,1974.1701960373205,10.025451850189558,1557,796,3153.6800000000003
75,2000.041199287137,10.151071082962522,1579,806.16000000000008,3193
76,2018.7898102526469,10.236456690543287,1594.5,815,3221.8400000000001
77,2032.0062899675017,10.290555465687445,1606.5,822,3242.5200000000004
78,2041.0325505818221,10.320884626914419,1615,826,3259.3400000000001
79,2047.5571338714749,10.334006069842992,1621,830,3269.8400000000001
80,2053.8967397001784,10.340009075651576,1628.5,834.5,3276.3600000000006
81,2062.5659922423733,10.355902395992096,1637,840.16000000000008,3285.3400000000001
82,2074.9025579201175,10.39440529467433,1648,846,3304.8400000000001
83,2090.0863822203587,10.453294545930666,1659,853.5,3329
84,2106.2765489044973,10.521898296850242,1672,861,3353
85,2121.7359786141105,10.58938085557036,1685,868,3380
86,2135.2605619037636,10.649327184301484,1696,874.5,3399
87,2146.2411154209035,10.69846823142003,1703,878,3415.6800000000003
88,2154.3613062165846,10.734879223276744,1710.5,881,3426
89,2159.5237446273195,10.757575764184661,1716,884,3432.8400000000001
90,2161.7262291644824,10.766089509596446,1718,885.16000000000008,3439
