sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,0.42491074085093722,0.15542796601115164,0.5,-4,5.5
1,0.4499033025885153,0.15154878354872015,0.5,-4,5.5
2,0.46976346325498364,0.14740486622212343,0.5,-4,5
3,0.48508628384409402,0.14286315620944881,0.5,-4,5
4,0.47459833382921751,0.13841388534747517,0.5,-4,5
5,0.46195328771199046,0.13414555630059072,0,-4,5
6,0.50985569770901518,0.13059145987464379,0,-3.5,5
7,0.52108747396608157,0.12658100489685647,0.5,-3.5,5
8,0.49609491222850344,0.12192989836387357,0,-3.5,5
9,0.46083754834870572,0.11636241345120049,0,-4,5
10,0.45533323415650107,0.10994158055841821,0,-3.5,4.5
11,0.51119458494495684,0.10335715715898702,0,-3,4.5
12,0.53112912823564418,0.097246992400405088,0,-3,4
13,0.55835316869979168,0.092190150722612704,0,-3,4
14,0.56638649211544179,0.08792323295434927,0,-3,4
15,0.59368491520380839,0.084304995404566055,0,-3,4
16,0.56475007438262426,0.080686460665197135,0,-3,4
17,0.52621987503719136,0.07727895731153768,0,-3,4
18,0.53648467717941084,0.073692756834755402,0,-3,4
19,0.53760041654269564,0.069646527072558362,0,-3,4
20,0.53202171972627199,0.065026531149124739,0,-3,4
21,0.53499702469503119,0.059629682678557054,0,-3,4
22,0.53365813745908952,0.054282711242723117,0,-3,4
23,0.52718684915203806,0.049538370121380099,0,-3,4
24,0.52369086581374591,0.046422277216476543,0,-3,3.5
25,0.50345879202618271,0.046333894380194668,0,-3,3.5
26,0.46373847069324609,0.049415087504779465,0,-3,3.5
27,0.42230734900327282,0.054652086104367961,0,-3,3.5
28,0.43889467420410594,0.060451142692833873,0,-3,3.5
29,0.45332490330258851,0.065899640353757213,0,-3.5,4
30,0.45957304373698304,0.069805914765943639,0,-3.5,4
31,0.41405087771496579,0.072542555065754175,0,-3.5,3.5
32,0.32010562332639098,0.074821930158490438,0,-4,3.5
33,0.31698155310919368,0.078016603289095113,0,-4,3.5
34,0.29332787860755727,0.082028757758996887,0,-4,3.5
35,0.26126896756917584,0.087079833390235339,0,-4,3.5
36,0.21396161856590301,0.092188044545983353,0,-4,3.5
37,0.19477090151740553,0.096959673181134284,0,-4,3.5
38,0.20503570365962512,0.10124753637861858,0,-4,3.5
39,0.26216155905980365,0.10516056247785394,0,-4,3.5
40,0.2971213924427254,0.10924232000295338,0,-4,4
41,0.31497322225528118,0.11402939516163986,0,-4,4
42,0.34844540315382327,0.11983504822810163,0,-4,4
43,0.38474412377268669,0.12684993185354457,-0.5,-4,4
44,0.43071258554001784,0.13486615395119558,-0.5,-4,4
45,0.47266438559952395,0.14343653532889364,-0.5,-4.5,4
46,0.49468164236834278,0.15231030203705778,-0.5,-4.5,4
47,0.531947337102053,0.1612231579448356,-0.5,-5,4
48,0.55426212436774769,0.16950312389882857,-0.5,-5,4
49,0.59457750669443621,0.1770951269869305,-0.5,-5,4
50,0.60558613507884562,0.18365861243260823,-0.5,-5,4.5
51,0.58468461767331148,0.18990560158212177,-1,-5,5
52,0.63496727164534361,0.19766084958620689,-1,-5,5
53,0.73359863135971437,0.20912673269004917,-1,-5,5
54,0.8557349003272835,0.22382567105546156,-1,-5,5
55,1.0315010413567391,0.24204730589194703,-1,-5,5
56,1.2231850639690569,0.26565389877105794,-1,-5.5,5
57,1.4675319845284143,0.29733079714634841,-1,-6,5
58,1.82456858077953,0.3387914571669583,-1,-6,5
59,2.2006471288307052,0.38906262325535895,-1,-6,5.5
60,2.7652856292770007,0.44548801062014109,-1,-6,6
61,3.7081597738768224,0.50808304060314058,-0.5,-5.5,6
62,7.2564340969949424,0.58236194726332069,1,-5,11
63,27.280831597738768,0.70454428253634449,14,0.5,46
64,115.15207527521571,1.0392080316047758,90,32.5,191
65,369.53120351085988,1.8699879209046739,335,172.94000000000005,559
66,877.60722255281166,3.3824709583443391,824.5,497,1258
67,1631.5724114846771,5.6766739108448894,1571.25,973,2296.5599999999995
68,2515.9438783100268,8.6119889911782757,2461,1474,3573.119999999999
69,3360.7042174947933,11.610522688055775,3319.75,1913.5,4847
70,4026.0586506991967,14.02632768603867,3999.25,2245,5894
71,4459.0023430526626,15.563038425517844,4451,2458.4400000000001,6541.1799999999985
72,4678.5532951502528,16.281808596738703,4662,2572,6854.119999999999
73,4738.0622210651591,16.40855002534013,4718.5,2611,6915
