sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,0.035101520941035441,0.17773515463033027,0.5,-4,5.5
1,0.049861392073125045,0.17414621611124606,0.5,-4,5
2,0.0011613096576009591,0.1712207914598208,0,-4,5
3,0.00093654004645238635,0.1685421636246919,0,-4,5
4,0.00093654004645238635,0.16630374908270465,0.5,-4,5
5,0.024837042031917285,0.16377888490376549,0.5,-4,5
6,0.015471641567393422,0.16092228684527082,0.5,-4,5
7,-0.029557203866037312,0.15737577754418355,0,-4,5
8,-0.02281411553158013,0.1528775474733822,0,-4,5
9,0.01457256312279913,0.14749571834413971,0,-3.5,5
10,0.066644189705551804,0.14167220760828356,0,-3.5,4.5
11,0.11946504832546639,0.13581789321276971,0,-3,4
12,0.16389450812916762,0.12975313334280722,0,-3,4.5
13,0.22181014460178317,0.12325742269825067,0,-3,4
14,0.31059414100546939,0.11675553850681246,0,-3,4
15,0.36423915486626207,0.11006275199061348,0,-3,4
16,0.44036112984191206,0.10306883752728309,0,-3,4
17,0.50022476961114859,0.096201423388907636,0,-3,4
18,0.54540346145201168,0.090180169024385984,0,-3,4
19,0.54323068854424217,0.085091559180898613,0,-3,4
20,0.53581329137633926,0.079692059405822122,0,-3,4
21,0.51461002472465722,0.073154406776077777,0,-3,4
22,0.53843560350640596,0.06513870963866851,0,-3,4
23,0.56900427062261183,0.057020020632029302,0,-3,3.5
24,0.60848879898104447,0.05105345369616468,0,-3,4
25,0.61740466022327112,0.049928870150418081,0,-3,3.5
26,0.61028695587023296,0.054094512290885452,0,-3,3.5
27,0.6090132614070578,0.061557674836145042,0,-3,3.5
28,0.62444744137259312,0.071033920108407714,0,-3,3.5
29,0.63096576009590166,0.081431047543875854,0,-3,3.5
30,0.61545665692665019,0.093682552633383584,0,-3.5,3.5
31,0.65059563946954369,0.10739782611975551,0,-3.5,3.5
32,0.68738293249419347,0.12128954132220332,0,-3.5,3.5
33,0.7614070577657901,0.13494784911889224,0,-3.5,3.5
34,0.85303813591069155,0.15006651172386837,0,-3.5,4
35,0.94406982842586351,0.16811167048462863,0,-4,4
36,0.97756050048700083,0.1879131131017476,0,-4,4
37,1.0607252566119727,0.20608691760832595,0,-4,4
38,1.14516370720012,0.22102244786043942,0,-4,4
39,1.2242826103244175,0.23228008137438552,0,-4,4
40,1.265715141979471,0.24176291091831895,0,-4,4
41,1.289690567168652,0.24963119502442041,-0.5,-4,4
42,1.3482055892709972,0.25635453541614428,0,-4,4
43,1.3688843934966659,0.26178215321745263,-0.5,-4,4
44,1.4685322544391999,0.26670383968635364,-0.5,-4,4
45,1.5279463549861392,0.2725412814001536,0,-4,4
46,1.5615119502509927,0.28081082291156273,-0.5,-4.5,4
47,1.6072900277215854,0.29227103859313647,-0.5,-4.5,4
48,1.6218251292425263,0.30490788506487193,-0.5,-5,4
49,1.659736270322919,0.31676027903631071,-0.5,-5,4
50,1.6968981793661497,0.3258134121284425,-1,-5,4.5
51,1.7043904997377688,0.33200962291589314,-1,-5,5
