sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,-2.2032787799835205,2.4925090603524387,0.5,-8,16
1,-1.9409836530685425,2.4341309535354823,0,-8,16.5
2,-1.6349726915359497,2.3772384790710954,0,-8,15.879999999999995
3,-1.4240437746047974,2.3170482351711628,0,-7,16.5
4,-1.1584699153900146,2.2514846444471726,1,-7,17.879999999999995
5,-0.79562842845916748,2.1783120630054325,1,-6.5,18
6,-0.59453552961349487,2.0963315944837695,0.5,-6,17.379999999999995
7,-0.45573770999908447,2.0085224719504144,0,-6,17.5
8,-0.21202185750007629,1.9162834729865463,0,-5.5,17.5
9,0.13551913201808929,1.8260102592947904,0.5,-5,14.5
10,0.46120217442512512,1.7389787666301351,1,-5,13.5
11,0.67759561538696289,1.6497892540813854,1,-4.5,14.5
12,1.019672155380249,1.5548749079471518,0,-4,13.5
13,1.3639343976974487,1.4490812798551178,1,-4,13.5
14,1.7726775407791138,1.3406726432373284,1,-4.5,13
15,2.1005463600158691,1.227318766869572,0.5,-4,12.5
16,2.457923412322998,1.1263860780362196,1,-4,11.879999999999995
17,2.8142075538635254,1.0331028493871741,1,-4,10.879999999999995
18,3.0131146907806396,0.94284815140593337,1,-3.5,10.5
19,3.0666666030883789,0.86206263178694664,1,-3,9.8799999999999955
20,3.1683061122894287,0.79043390761417631,0.5,-3,9
21,3.2808742523193359,0.72493391981667499,0.5,-3,9
22,3.396721363067627,0.66531396241514695,0.5,-3,8
23,3.3770492076873779,0.62046833093000042,0,-3,7
24,3.339890718460083,0.58860632593384332,0,-3,5
25,3.359562873840332,0.58283757384460966,0,-3,5.8799999999999955
26,3.457923412322998,0.60765468460878302,0,-3.5,6
27,3.4196720123291016,0.65359323239213818,0,-3.8799999999999955,6.5
28,3.3409836292266846,0.72229066844958045,0,-4,6.5
29,3.2994534969329834,0.79744831794157989,0,-4.3799999999999955,7
30,3.2185792922973633,0.87306689262027448,0,-5,6.5
31,3.0240437984466553,0.94705721916760666,0,-5.8799999999999955,6.5
32,2.6852459907531738,1.0175310713667538,0,-6.5,7
33,2.2666666507720947,1.082209533344922,0,-7.3799999999999955,6.8799999999999955
34,2.0819671154022217,1.135210630327679,0,-7.3799999999999955,7
35,1.8229508399963379,1.1814106104139896,0,-7.5,6.5
36,1.6163934469223022,1.2259884740063709,-0.5,-8,6.8799999999999955
37,1.3759562969207764,1.2702616079626337,-0.5,-9.3799999999999955,7
38,1.1770491600036621,1.3149130036573815,-1,-9.8799999999999955,6.8799999999999955
39,0.83169400691986084,1.3570177849995129,-0.5,-11,6
40,0.51038253307342529,1.396739358397153,-1,-11.5,6
41,0.42622950673103333,1.4424354232090617,-1,-11.379999999999995,6
42,0.3125683069229126,1.4894434706497226,-1,-13.5,6
43,0.25027322769165039,1.544807785147938,-1,-14.379999999999995,7
44,0.39016392827033997,1.6132767726902499,-1,-14,7
45,0.55737704038619995,1.6929913609658276,-1,-15.879999999999995,7
46,0.95409834384918213,1.7908814496820156,-1,-17,7.8799999999999955
47,1.3322404623031616,1.9044568548985965,-1,-17.759999999999991,8
48,1.5508196353912354,2.0407220546045508,-1,-18.5,8
49,1.7792350053787231,2.1890105741599117,-1,-18.5,7
50,1.9256830215454102,2.3539295104969113,-1,-20.379999999999995,7
51,1.951912522315979,2.512903026032522,-2,-22.379999999999995,7.8799999999999955
52,2.1038250923156738,2.6620082912509577,-1.5,-25,8.5
53,2.4568305015563965,2.8313473852034376,-2,-28.379999999999995,8
54,3.4677596092224121,3.1393697463059702,-1,-27.379999999999995,8.5
55,4.5901637077331543,3.7121892686860214,-1.5,-27,8
56,5.6928963661193848,4.4970751873756187,-2,-27.379999999999995,9
57,6.9486336708068848,5.357401929344678,-2,-27,8.8799999999999955
58,8.469944953918457,6.2070639892055421,-2,-27.879999999999995,9
59,10.687431335449219,7.0166792599068906,-1,-28,9
60,14.001092910766602,7.7925921688950437,-1,-28.5,10.879999999999995
61,23.042623519897461,8.552074447182461,2.5,-27.5,24.879999999999995
62,56.595626831054688,9.3564619224737555,25,-20.879999999999995,93.879999999999995
63,157.63497924804688,10.646362207633063,113,6,291.51999999999998
64,369.01858520507812,13.550272959167341,315,67.480000000000018,657
65,692.36065673828125,18.831316866233422,620,166.12,1196.52
66,1085.5213623046875,25.832665830315094,991,287.74000000000001,1892.04
