sample,mean,median,percentile_16,percentile_84
0,-0.050071213394403458,0,-3.5,4
1,-0.036273811012506485,0,-3.5,4
2,-0.024286393076181412,0,-3,4
3,-0.023307222872972488,0,-3,4
4,-0.016364013776183128,0,-3,4
5,-0.0068690283223986626,0,-3,4
6,0.0009346626466140151,0,-3,4
7,0.018648745492100716,0,-3,4
8,0.033454988151788712,0,-3,3.5
9,0.031823039054870605,0,-3,3.5
10,0.043068662285804749,0,-3,3
11,0.046213872730731964,0,-3,3
12,0.035828735679388046,0,-3,3
13,0.045768797397613525,0,-2.5,3
14,0.049537118524312973,0,-2.5,3
15,0.047430418431758881,0,-2.5,3
16,0.035205624997615814,0,-2.5,3
17,0.045412734150886536,0,-2,3
18,0.055560499429702759,0,-2,3
19,0.048379916697740555,0,-2,3
20,0.061850927770137787,0,-2,3
21,0.072354756295681,0,-2,2.5
22,0.095528453588485718,0,-2,2.5
23,0.10440032929182053,0,-2,2
24,0.11564595252275467,0,-2,2
25,0.13119399547576904,0,-2,2
26,0.1344875693321228,0,-2,2
27,0.14519910514354706,0,-2,2
28,0.14632663130760193,0,-2,2.5
29,0.15074773132801056,0,-2.5,2.5
30,0.15392261743545532,0,-2.5,2.5
31,0.16831345856189728,0,-2.5,2.5
32,0.17214111983776093,0,-3,2.5
33,0.16169664263725281,0,-3,2.5
34,0.15418966114521027,0,-3,2.5
35,0.14781022071838379,0,-3,2.5
36,0.14279568195343018,0,-3,3
37,0.1457628607749939,0,-3,3
38,0.16175597906112671,0,-3,3
39,0.17958875000476837,0,-3,3
40,0.21216841042041779,0,-3,3
41,0.22015014290809631,0,-3,3
42,0.22468993067741394,0,-3.5,3
43,0.21786540746688843,0,-3.5,3
44,0.262847900390625,0,-4,3
45,0.29839473962783813,0,-4,3
46,0.34420806169509888,0,-4,3
47,0.38310784101486206,0,-4,3
48,0.4039967954158783,0,-4,3.5
49,0.46535813808441162,0,-4,3.5
50,0.54701501131057739,-0.5,-4,4
51,0.67493027448654175,-0.5,-4,4
52,0.83346682786941528,-0.5,-4,4
53,1.1092368364334106,-0.5,-4.5,4
54,1.5684083700180054,0,-4.5,4.5
55,2.3867573738098145,0,-4.5,5
56,4.1366238594055176,0,-4,7
57,8.7327899932861328,1,-3.5,12
58,22.545501708984375,8.5,-1,35
59,60.523754119873047,37.5,9,103
60,142.05348205566406,108,38.5,239
61,275.18191528320312,217,93,464
62,448.19430541992188,347,163.07999999999993,763
63,639.31927490234375,488,237,1089
64,829.8907470703125,623,307.5,1408.8400000000001
65,1009.052978515625,751,373.5,1712.4200000000001
66,1171.795166015625,867,432.5,1989.4200000000001
67,1315.8824462890625,970,485,2231.5
68,1440.34228515625,1058,529,2442
69,1545.2420654296875,1133,566.5,2613.9200000000001
70,1631.6961669921875,1194,597,2754
71,1701.531005859375,1243,623,2871
72,1756.8031005859375,1284,644,2966
73,1799.7364501953125,1314,659,3041.7600000000002
74,1832.57177734375,1338,672,3096.4200000000001
75,1857.2098388671875,1356,681,3134.9200000000001
76,1875.3267822265625,1370,689,3165
77,1888.3330078125,1379.25,694,3186
78,1897.57275390625,1385.75,698,3199
79,1904.635009765625,1391.25,702,3207
80,1911.700927734375,1398,705.5,3222
81,1921.017822265625,1405.5,710,3238
82,1933.4512939453125,1416,716,3256.8400000000001
83,1948.1181640625,1426.75,721,3281.5
84,1963.406494140625,1437,727,3308
85,1977.8638916015625,1449,732,3333.9200000000001
86,1990.527099609375,1459,736.5,3355.9200000000001
87,2000.8677978515625,1466.75,741,3373
88,2008.67724609375,1473,744,3391
89,2013.825439453125,1476.75,745,3398
90,2016.3233642578125,1478,745,3407.4200000000001
91,2016.392578125,1478,745,3407
92,2014.236572265625,1477,744,3404
93,2010.1444091796875,1474,742,3394.8400000000001
94,2004.428955078125,1470,740.5,3388
95,1997.3763427734375,1464,738,3375
96,1989.2880859375,1458,735,3361
97,1980.39892578125,1449,731.07999999999993,3346.9200000000001
98,1970.9306640625,1441,729,3329
99,1961.034912109375,1434,724.57999999999993,3311
100,1950.8653564453125,1426.5,720.5,3290.8400000000001
101,1940.681640625,1420,717,3274
102,1930.7017822265625,1413,713,3257.8400000000001
103,1921,1406,710,3244
104,1911.5057373046875,1399,706,3227.9200000000001
105,1901.9932861328125,1393.5,703,3212.4200000000001
106,1892.29052734375,1386.75,698,3198
107,1882.3243408203125,1379,695,3180.4200000000001
108,1871.9949951171875,1371.5,690,3162.4200000000001
109,1861.302001953125,1363.75,686,3142.8400000000001
110,1850.185546875,1355,682,3123
111,1838.63671875,1347,678,3102
112,1826.749267578125,1338.25,673,3081
113,1814.5390625,1329.25,668,3060
114,1802.0537109375,1320,663,3037.8400000000001
115,1789.2969970703125,1311,657,3016.8400000000001
116,1776.328125,1300.75,652,2993
117,1763.142578125,1289.25,648,2969
118,1749.822265625,1280,642.5,2944.4200000000001
119,1736.3912353515625,1270.25,638,2923
120,1722.9083251953125,1260,633,2900
121,1709.4102783203125,1251,628,2877
122,1695.895751953125,1241,623,2852.9200000000001
123,1682.387451171875,1229,618,2828.4200000000001
124,1668.888916015625,1218.25,613,2803.8400000000001
125,1655.4022216796875,1208.5,607.07999999999993,2782
126,1641.9285888671875,1197,603,2761.9200000000001
127,1628.4208984375,1188,597,2737.8400000000001
128,1614.941650390625,1178,592,2714
129,1601.5078125,1167,586.5,2691
130,1588.1002197265625,1156,581,2667.5
131,1574.6751708984375,1146,576,2643.9200000000001
132,1561.26806640625,1137,570.5,2622.9200000000001
133,1547.8597412109375,1127,565,2602
134,1534.4456787109375,1116,560,2580
135,1521.0263671875,1107,555,2558
136,1507.613037109375,1096,550,2535
137,1494.2418212890625,1086,545,2511
138,1480.8817138671875,1076.25,539.07999999999993,2488.9200000000001
139,1467.503662109375,1067,535,2466
140,1454.160400390625,1057,529.57999999999993,2442.9200000000001
141,1440.8707275390625,1047,524,2420
142,1427.60302734375,1037,519,2397.5
143,1414.385009765625,1027,514,2375
144,1401.25927734375,1017,510,2353
145,1388.174072265625,1008.5,505,2331
146,1375.177001953125,999.5,500,2309
147,1362.1864013671875,990,495,2286.9200000000001
148,1349.2518310546875,980,490,2265.8400000000001
149,1336.40087890625,970,485,2243.9200000000001
150,1323.614990234375,962,480.5,2221
151,1310.8890380859375,953,476,2200
152,1298.225341796875,944,471,2178
153,1285.6558837890625,935,465.5,2155
154,1273.155029296875,926,461,2134
155,1260.71826171875,916.5,456.07999999999993,2113.8400000000001
156,1248.368408203125,907,452,2091.5
157,1236.08642578125,898,447,2070.5
158,1223.8905029296875,889,442,2050
159,1211.810791015625,880,437.5,2030.9200000000001
160,1199.772216796875,872,433,2011
161,1187.839111328125,863,429,1989
162,1175.9566650390625,854,424.5,1970
163,1164.2103271484375,845.75,420,1951
164,1152.521728515625,836.75,415,1931
165,1140.93408203125,827,411,1910.4200000000001
166,1129.4168701171875,819,407,1890
167,1117.9869384765625,810,402,1870
168,1106.62744140625,801.25,398,1852
169,1095.33154296875,793.25,394,1832
170,1084.14794921875,785,389,1813.9200000000001
171,1073.069580078125,776.5,385,1793.8400000000001
172,1062.107666015625,768.75,381,1774.9200000000001
173,1051.2523193359375,761,378,1756
174,1040.4896240234375,753,373,1738
175,1029.8018798828125,745.5,368.5,1723
176,1019.2156982421875,737,365,1706
177,1008.7080688476562,729,361,1687.8400000000001
178,998.296142578125,721.25,357,1670
179,987.98931884765625,714,353,1653
180,977.78460693359375,707,349,1636.9200000000001
181,967.66253662109375,699,345,1618.5
182,957.65155029296875,691,341,1601
183,947.72454833984375,684,337,1583.8400000000001
184,937.85333251953125,677,334,1566
185,928.068359375,669.75,330,1550
186,918.3529052734375,662.5,326.5,1534
187,908.7510986328125,655,323,1517.5
188,899.23443603515625,648,319.5,1501
189,889.82659912109375,641.5,317,1484
190,880.51580810546875,635,313,1468.9200000000001
191,871.2882080078125,628,310,1453
192,862.16510009765625,621,306,1436.9200000000001
193,853.150390625,614,303,1422.5
194,844.17535400390625,608,300,1408
195,835.293701171875,601.5,296.5,1393
196,826.50360107421875,595.25,293,1378
197,817.8055419921875,589,290,1363
198,809.19329833984375,583,287,1347
199,800.66412353515625,577,283.57999999999993,1331
200,792.2230224609375,570.25,280,1318
201,783.86322021484375,564,277,1303
202,775.57568359375,557.5,274,1288
203,767.34906005859375,552,271,1275
204,759.16656494140625,545.5,268,1261.5
205,751.1126708984375,539,264.57999999999993,1248.9200000000001
206,743.13134765625,533,262,1235
207,735.2069091796875,527,259,1223
208,727.35491943359375,522,256,1209
209,719.58746337890625,516.5,253,1196
210,711.89141845703125,511,250,1183.5
211,704.2733154296875,505,247,1171
212,696.7030029296875,499,244,1159
213,689.20037841796875,493.75,241,1146
214,681.7900390625,488,238,1133.5
215,674.455810546875,483,235.5,1121
216,667.18341064453125,478,233,1110
217,659.98907470703125,472,230,1099
218,652.87939453125,467,227,1087
219,645.8251953125,462,225,1075
220,638.82489013671875,457,222,1064
221,631.9185791015625,452,219.5,1050
222,625.077880859375,447,217,1038
223,618.31121826171875,443,215,1027
224,611.5985107421875,437,212,1015.8400000000001
225,604.97869873046875,432.5,210,1004
226,598.43035888671875,428,207,994
227,591.9451904296875,423,205,983
228,585.51422119140625,418,202.5,973
229,579.1322021484375,413,200,963.92000000000007
230,572.8148193359375,408.5,198,953.84000000000015
231,566.55926513671875,404,195.5,943
232,560.34637451171875,400,193,934
233,554.18292236328125,395,191,922
234,548.06317138671875,390.5,188.5,913
235,542.0032958984375,386,187,904
236,535.99884033203125,382,184.5,894
237,530.04425048828125,377,182,884
238,524.170654296875,373,180,875.92000000000007
239,518.37408447265625,369,178,865.84000000000015
240,512.63677978515625,364.5,175.5,856
241,506.94992065429688,360,173.07999999999993,845.92000000000007
242,501.3253173828125,356,171,836
243,495.785400390625,352,169,827
244,490.32196044921875,348,167.5,818
245,484.91043090820312,344,165,808.84000000000015
246,479.52877807617188,340,163.5,799
247,474.20004272460938,336,161.5,790
248,468.90408325195312,332.5,159,781
249,463.6768798828125,328,157,773
