sample,mean,median,percentile_16,percentile_84
0,0.083369597792625427,0,-3.5,4
1,0.080477125942707062,0,-3,4
2,0.082345716655254364,0,-3,4
3,0.089999228715896606,0,-3,4
4,0.098574243485927582,0,-3,4
5,0.10958097875118256,0,-3,4
6,0.11073284596204758,0,-3,3.5
7,0.10935059934854507,0,-3,3.5
8,0.11685054004192352,0,-3,3
9,0.13781452178955078,0,-3,3
10,0.14705505967140198,0,-3,3
11,0.13940154016017914,0,-3,3
12,0.13026338815689087,0,-3,3
13,0.16858218610286713,0,-2.5,3
14,0.16330918669700623,0,-2.5,3
15,0.16489620506763458,0,-2,3
16,0.161670982837677,0,-2,3
17,0.1559884250164032,0,-2,3
18,0.15115058422088623,0,-2,3
19,0.14070698618888855,0,-2,3
20,0.14510968327522278,0,-2,3
21,0.14119333028793335,0,-2,2.5
22,0.12350577116012573,0,-2,2.5
23,0.12665420770645142,0,-2,2
24,0.12383853644132614,0,-2,2
25,0.1200757697224617,0,-2,2
26,0.11367650330066681,0,-2,2
27,0.10873627662658691,0,-2,2
28,0.090971916913986206,0,-2,2
29,0.093966774642467499,0,-2.5,2
30,0.094017967581748962,0,-2.5,2.5
31,0.095067448914051056,0,-3,2.5
32,0.10379604250192642,0,-3,2.5
33,0.11915427446365356,0,-3,2.5
34,0.12163718789815903,0,-3,2.5
35,0.14242199063301086,0,-3,3
36,0.14853969216346741,0,-3,3
37,0.15158574283123016,0,-3,3
38,0.14631274342536926,0,-3,3
39,0.14633834362030029,0,-3,3
40,0.16696956753730774,0,-3,3
41,0.19963140785694122,0,-3,3
42,0.22448614239692688,0,-3,3
43,0.23219084739685059,0,-3.5,3
44,0.25108146667480469,0,-3.5,3
45,0.26943457126617432,0,-4,3
46,0.30352982878684998,0,-4,3
47,0.31712186336517334,0,-4,3
48,0.36396446824073792,0,-4,3
49,0.42921134829521179,0,-4,3.5
50,0.51334887742996216,0,-4,4
51,0.63170963525772095,-0.5,-4,4
52,0.79204952716827393,-0.5,-4,4
