sample,mean,median,percentile_16,percentile_84
0,-0.41298893094062805,0,-4,5
1,-0.35015395283699036,0,-4,5
2,-0.31525829434394836,0,-4,5
3,-0.26861670613288879,0,-3.5,4.5
4,-0.20760634541511536,0,-4,4.5
5,-0.14442923665046692,0,-3.5,4
6,-0.10006842017173767,0,-3,4
7,-0.070532560348510742,0,-3,4
8,-0.023662904277443886,0,-3,4
9,0.047610901296138763,0,-3,4
10,0.10485802590847015,0,-3,4
11,0.11181434243917465,0,-3,4
12,0.11854259669780731,0,-3,4
13,0.18924620747566223,0,-3,3.5
14,0.21615919470787048,0,-3,3.5
15,0.25459003448486328,0,-3,3.5
16,0.24820390343666077,0,-2.5,3
17,0.2721518874168396,0,-3,3
18,0.25002852082252502,0,-2.5,3
19,0.24740563333034515,0,-2.5,3
20,0.25037062168121338,0,-2,3
21,0.2651955783367157,0,-2,3
22,0.23737028241157532,0,-2,3
23,0.24364237487316132,0,-2,3
24,0.24067738652229309,0,-2,2.5
25,0.2519671618938446,0,-2,2.5
26,0.23714220523834229,0,-2,2.5
27,0.24558103084564209,0,-2.5,3
28,0.228817418217659,0,-3,2.5
29,0.26485344767570496,0,-3,3
30,0.28709089756011963,0,-3,3
31,0.29290682077407837,0,-3,3
32,0.33418861031532288,0,-3,3
33,0.37706694006919861,0,-3,3
34,0.41743642091751099,0,-3,3
35,0.43910366296768188,0,-3,3
36,0.48859620094299316,0,-3,3
37,0.51505303382873535,0,-3.5,3
38,0.5356939435005188,0,-3.5,3
39,0.56397539377212524,0,-4,3
40,0.58712512254714966,0,-4,3
41,0.6684342622756958,0,-4,3
42,0.69660168886184692,0,-4,3
43,0.74210286140441895,0,-4,3
44,0.77631431818008423,0,-4,3
45,0.80630630254745483,-0.5,-4,3
46,0.89605426788330078,-0.5,-4,3.5
47,0.90095794200897217,-0.5,-5,3.5
48,0.99150413274765015,-0.5,-5,4
49,1.0624358654022217,-1,-5,4
50,1.1797810792922974,-1,-5,4
51,1.2730642557144165,-1,-5,4
52,1.4133310317993164,-1,-5,4
53,1.603318452835083,-1,-5,4.5
54,1.8327631950378418,-1,-5.5,4.5
55,2.2801346778869629,-1,-6,5
56,3.2550461292266846,0,-5.5,6
57,6.2086324691772461,1,-5,10
58,17.57537841796875,7,-2,29
59,56.728645324707031,37,7.5,101
60,155.4359130859375,124,43,267
61,333.68484497070312,283.5,114,564.55999999999995
62,578.5567626953125,494,202,988.05999999999995
63,856.66162109375,727.5,292,1484.5599999999999
64,1137.257568359375,956,383,1979.6799999999998
65,1402.2872314453125,1169,465.5,2446.1199999999999
66,1643.7982177734375,1367,540,2864.2399999999998
67,1858.3443603515625,1541,607.5,3237.5599999999999
68,2044.2615966796875,1690,665.44000000000005,3553
69,2201.332763671875,1810,716,3817.6799999999998
70,2330.827880859375,1913,755.88000000000011,4043
71,2435.233642578125,1994,791.44000000000005,4223
72,2517.741943359375,2061,819.88000000000011,4372
73,2581.701416015625,2112,842,4488.5599999999995
74,2630.431396484375,2156,860,4568.7999999999993
75,2666.916259765625,2186,873,4631.1199999999999
76,2693.474853515625,2209,885,4667.1199999999999
77,2712.211669921875,2231,892,4697.1199999999999
78,2724.84375,2242,899,4721.9799999999996
79,2733.471923828125,2250,903,4741.6599999999999
80,2741.17724609375,2255.5,909,4754.1199999999999
81,2751.781005859375,2265,914.94000000000005,4777.1199999999999
82,2767.185546875,2279.5,921.44000000000005,4787.1199999999999
83,2786.518310546875,2295,928,4814.1800000000003
84,2807.283935546875,2315.5,935,4848.2399999999998
85,2827.30029296875,2334,941,4887.6799999999994
86,2845.07861328125,2351,948,4914
87,2859.65576171875,2364,954.88000000000011,4933.9599999999991
