sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,-0.41298893094062805,0.27683155629612965,0,-4,5
1,-0.35015395283699036,0.26845634441026789,0,-4,5
2,-0.31525829434394836,0.25953474072293464,0,-4,5
3,-0.26861670613288879,0.25007343565670109,0,-3.5,4.5
4,-0.20760634541511536,0.2401654898904966,0,-4,4.5
5,-0.14442923665046692,0.2304175040009466,0,-3.5,4
6,-0.10006842017173767,0.22119963397750372,0,-3,4
7,-0.070532560348510742,0.21191948249879222,0,-3,4
8,-0.023662904277443886,0.2021174990972287,0,-3,4
9,0.047610901296138763,0.19157958423809537,0,-3,4
10,0.10485802590847015,0.18085814097128861,0,-3,4
11,0.11181434243917465,0.16990120501826927,0,-3,4
12,0.11854259669780731,0.15976658319418563,0,-3,4
13,0.18924620747566223,0.1499060606659034,0,-3,3.5
14,0.21615919470787048,0.13992753303067054,0,-3,3.5
15,0.25459003448486328,0.12977577401378074,0,-3,3.5
16,0.24820390343666077,0.11888037081965717,0,-2.5,3
17,0.2721518874168396,0.10788731443824326,0,-3,3
18,0.25002852082252502,0.096548299168220886,0,-2.5,3
19,0.24740563333034515,0.085551423120885123,0,-2.5,3
20,0.25037062168121338,0.07480373862299966,0,-2,3
21,0.2651955783367157,0.063714248246587946,0,-2,3
22,0.23737028241157532,0.052902453147516737,0,-2,3
23,0.24364237487316132,0.043541100162183932,0,-2,3
24,0.24067738652229309,0.037589640693602613,0,-2,2.5
25,0.2519671618938446,0.037455537382918618,0,-2,2.5
26,0.23714220523834229,0.044144702608230078,0,-2,2.5
27,0.24558103084564209,0.055103886262806434,0,-2.5,3
28,0.228817418217659,0.068181988813271616,0,-3,2.5
29,0.26485344767570496,0.082646544829681062,0,-3,3
30,0.28709089756011963,0.097536366035687702,0,-3,3
31,0.29290682077407837,0.11190122038528984,0,-3,3
32,0.33418861031532288,0.12601839184031446,0,-3,3
33,0.37706694006919861,0.13927639327671842,0,-3,3
34,0.41743642091751099,0.15192572700021942,0,-3,3
35,0.43910366296768188,0.16471053675123595,0,-3,3
36,0.48859620094299316,0.17713184295946868,0,-3,3
37,0.51505303382873535,0.18904524298336756,0,-3.5,3
38,0.5356939435005188,0.20067998193143902,0,-3.5,3
39,0.56397539377212524,0.21175805514335613,0,-4,3
40,0.58712512254714966,0.22318568644408063,0,-4,3
41,0.6684342622756958,0.23424773617649261,0,-4,3
42,0.69660168886184692,0.2453205747879352,0,-4,3
43,0.74210286140441895,0.25623855515640809,0,-4,3
44,0.77631431818008423,0.26747525775982994,0,-4,3
45,0.80630630254745483,0.27818108900108535,-0.5,-4,3
46,0.89605426788330078,0.28881768630833266,-0.5,-4,3.5
47,0.90095794200897217,0.30006799183995397,-0.5,-5,3.5
48,0.99150413274765015,0.31185556902774259,-0.5,-5,4
49,1.0624358654022217,0.32439205904484386,-1,-5,4
50,1.1797810792922974,0.3379530130789592,-1,-5,4
51,1.2730642557144165,0.35254292328894399,-1,-5,4
52,1.4133310317993164,0.36972583184728086,-1,-5,4
53,1.603318452835083,0.39124385319026683,-1,-5,4.5
54,1.8327631950378418,0.41799088463827699,-1,-5.5,4.5
55,2.2801346778869629,0.45050525485703002,-1,-6,5
56,3.2550461292266846,0.49327316651939362,0,-5.5,6
57,6.2086324691772461,0.55707697246370125,1,-5,10
58,17.57537841796875,0.67185862445297151,7,-2,29
59,56.728645324707031,0.92500378432359609,37,7.5,101
60,155.4359130859375,1.4982164875243691,124,43,267
61,333.68484497070312,2.5903049730731995,283.5,114,564.55999999999995
62,578.5567626953125,4.2133954041068762,494,202,988.05999999999995
63,856.66162109375,6.1645766419414008,727.5,292,1484.5599999999999
64,1137.257568359375,8.1982365043095609,956,383,1979.6799999999998
65,1402.2872314453125,10.151902079098464,1169,465.5,2446.1199999999999
66,1643.7982177734375,11.950743052692646,1367,540,2864.2399999999998
67,1858.3443603515625,13.56338942881287,1541,607.5,3237.5599999999999
68,2044.2615966796875,14.969940954283416,1690,665.44000000000005,3553
69,2201.332763671875,16.160996349721369,1810,716,3817.6799999999998
70,2330.827880859375,17.139486374244107,1913,755.88000000000011,4043
71,2435.233642578125,17.921790323126277,1994,791.44000000000005,4223
72,2517.741943359375,18.52980617472431,2061,819.88000000000011,4372
73,2581.701416015625,18.985874703085724,2112,842,4488.5599999999995
74,2630.431396484375,19.316296264339528,2156,860,4568.7999999999993
75,2666.916259765625,19.547895144045249,2186,873,4631.1199999999999
76,2693.474853515625,19.705112794962034,2209,885,4667.1199999999999
77,2712.211669921875,19.807495830251987,2231,892,4697.1199999999999
78,2724.84375,19.869573916309545,2242,899,4721.9799999999996
79,2733.471923828125,19.902355533829638,2250,903,4741.6599999999999
80,2741.17724609375,19.924505426639911,2255.5,909,4754.1199999999999
81,2751.781005859375,19.966731551879931,2265,914.94000000000005,4777.1199999999999
82,2767.185546875,20.050831133063539,2279.5,921.44000000000005,4787.1199999999999
83,2786.518310546875,20.171085452327056,2295,928,4814.1800000000003
84,2807.283935546875,20.306603019801706,2315.5,935,4848.2399999999998
85,2827.30029296875,20.438285648158509,2334,941,4887.6799999999994
86,2845.07861328125,20.554006338245681,2351,948,4914
87,2859.65576171875,20.648235493021453,2364,954.88000000000011,4933.9599999999991
88,2870.630126953125,20.716831157132269,2373,955.44000000000005,4953.1199999999999
89,2877.87841796875,20.759511884061531,2380,957,4971.2399999999998
90,2881.2392578125,20.775418876766711,2383,957.94000000000005,4977.1800000000003
91,2880.947998046875,20.765127419320372,2384.5,960,4974.1199999999999
92,2877.386474609375,20.732908453077432,2385.5,960.5,4969
93,2871.0703125,20.68222324820837,2382.5,959.44000000000005,4957.1800000000003
94,2862.351318359375,20.615499645067814,2376.5,955.88000000000011,4940.2399999999998
95,2851.59423828125,20.535210781032575,2368,953.88000000000011,4918.1199999999999
96,2839.28857421875,20.444941796166184,2358,949.88000000000011,4894.1199999999999
97,2825.74658203125,20.347272517503665,2347,942,4872.5999999999995
98,2811.2373046875,20.243169444651986,2336,939,4849.3599999999997
99,2796.001220703125,20.134811971737779,2321,933.44000000000005,4822.2399999999998
100,2780.3193359375,20.023625480050576,2309,928,4796
101,2764.536865234375,19.911716348220143,2296,922.44000000000005,4768
102,2748.979248046875,19.802286727139446,2282.5,916,4738
103,2733.744384765625,19.696461380351984,2268,911.32000000000016,4709.1199999999999
104,2718.768798828125,19.593942285183942,2258,906,4681.5399999999991
105,2703.843994140625,19.492244164146964,2243,900.88000000000011,4656.1199999999999
106,2688.756591796875,19.390874126581203,2230.5,896,4627.5599999999995
107,2673.258056640625,19.288204088402452,2217,891,4604.1199999999999
108,2657.3388671875,19.182973034920163,2206,886,4575
109,2640.890869140625,19.075641638374513,2193,881,4551
110,2623.8642578125,18.964265823703695,2175,875.88000000000011,4515
111,2606.25244140625,18.848616458753224,2160,866.88000000000011,4485.1199999999999
112,2588.104248046875,18.730181583400459,2146,859.94000000000005,4451.1199999999999
113,2569.5927734375,18.608759537121351,2131.5,852,4419
114,2550.67333984375,18.484518810794018,2115,844.44000000000005,4383.1199999999999
115,2531.4228515625,18.358233430083633,2101,838.5,4350
116,2511.89599609375,18.229677371807025,2081,831.94000000000005,4318.6800000000003
117,2492.19580078125,18.099794086730068,2065,824,4289.2999999999993
118,2472.377685546875,17.969038759792316,2049,816,4254
119,2452.462646484375,17.837508340757843,2028,808.5,4221.1199999999999
120,2432.497802734375,17.705590153056914,2013,802,4185
121,2412.446533203125,17.572900939195144,1996.5,793.88000000000011,4150.6800000000003
122,2392.4619140625,17.440255927166429,1979,786,4115.1199999999999
123,2372.514404296875,17.307430011370379,1960.5,777.44000000000005,4081.0599999999999
124,2352.606689453125,17.174225438983942,1947,770.94000000000005,4048
125,2332.7333984375,17.04121856378379,1929,764,4013.2999999999997
126,2312.864990234375,16.908855159609619,1910,757,3980.1199999999999
127,2292.990234375,16.775350689199019,1893,752,3947
128,2273.114013671875,16.641454988297319,1880,744.88000000000011,3916
129,2253.199951171875,16.507442505747257,1863,737,3881
130,2233.270263671875,16.37281395476154,1844,729.94000000000005,3851
131,2213.31640625,16.237074737363105,1828,724,3814
132,2193.353271484375,16.100859835069624,1813,718.94000000000005,3781
133,2173.35107421875,15.964381277451453,1796,712.44000000000005,3750
134,2153.353271484375,15.827540431498058,1779,706,3715.5599999999999
135,2133.40576171875,15.689488536627621,1759,699,3679.1199999999999
136,2113.54345703125,15.551325722836314,1744,693,3647.5599999999999
137,2093.66552734375,15.413524783843004,1727,686,3611.1199999999999
138,2073.867919921875,15.275779077399477,1707,678.88000000000011,3578.1199999999999
139,2054.1103515625,15.138508649340734,1691.5,670.82000000000016,3544
140,2034.470703125,15.001775967503782,1677,663.44000000000005,3512.1199999999999
141,2014.83447265625,14.864520305888702,1657,655,3481.5599999999999
142,1995.25732421875,14.727986992713708,1642.5,649,3442.4199999999996
143,1975.8006591796875,14.591694755101081,1627,642,3409
144,1956.4039306640625,14.456024172772846,1610,634,3377.5599999999999
145,1937.1343994140625,14.321433875879773,1595,626,3344
146,1918.0283203125,14.18721665531214,1578.5,619,3311.3599999999997
147,1899.1055908203125,14.054208644043859,1563.5,613,3280.5599999999999
148,1880.283447265625,13.921769764303155,1546,606,3247.5599999999999
149,1861.593994140625,13.790163112716959,1532.5,599.88000000000011,3216.5599999999999
150,1842.997314453125,13.659875757176822,1517,593,3182.6799999999998
151,1824.5413818359375,13.530160277264061,1501,587,3150.6799999999998
152,1806.1531982421875,13.40117357078193,1484,580,3118.9199999999996
153,1787.8876953125,13.273040046241501,1468,575.44000000000005,3089.5599999999999
154,1769.7359619140625,13.144763703901276,1454,569.44000000000005,3058.5599999999999
155,1751.6453857421875,13.017563622083655,1438,563.88000000000011,3027.6199999999999
156,1733.6436767578125,12.890195240690508,1423,557.94000000000005,2999.1199999999999
157,1715.718017578125,12.762820329407011,1409,552.44000000000005,2968.1199999999999
158,1697.9229736328125,12.636093472334755,1395,546,2940.0599999999999
159,1680.22216796875,12.509997253827105,1381,540.44000000000005,2908.0599999999999
160,1662.646728515625,12.384359885076055,1368,534.32000000000016,2877.1199999999999
161,1645.2095947265625,12.258933284267171,1354,528,2847.0599999999999
162,1627.8779296875,12.134391383164731,1340.5,522.44000000000005,2818.1799999999998
163,1610.6688232421875,12.010131615805392,1325,516.44000000000005,2787
164,1593.622314453125,11.887377260348917,1310,511,2757.5
165,1576.67138671875,11.765368842641079,1295,506.94000000000005,2727.0599999999999
166,1559.874267578125,11.644518032452803,1281,500,2699.1199999999999
167,1543.207763671875,11.52475447478106,1268,496,2672.1199999999999
168,1526.7342529296875,11.406264750719027,1254,490,2645
169,1510.424560546875,11.288543983141075,1241.5,486,2618
170,1494.2568359375,11.172079745873551,1227,480,2592
171,1478.2265625,11.057067930800759,1213,474.94000000000005,2566
172,1462.28857421875,10.94245672770082,1199,469,2537
173,1446.5203857421875,10.828938528637158,1186,463,2513.1199999999999
174,1430.8585205078125,10.716950657319769,1173,458,2486
175,1415.3707275390625,10.60601491481618,1162,452,2460
176,1400.02685546875,10.495901246720868,1149,446,2435
177,1384.853759765625,10.386868599529704,1136,441.94000000000005,2406.1199999999999
178,1369.7686767578125,10.279318420236887,1123,436,2379
179,1354.8687744140625,10.172657676521638,1112,430.44000000000005,2350
180,1340.09228515625,10.067179511182312,1100.5,424.44000000000005,2325.2399999999998
181,1325.470458984375,9.9630404468766347,1089,420,2300
182,1310.985107421875,9.8595388227808343,1076,416,2277.2399999999998
183,1296.6724853515625,9.7563597696376281,1065.5,411,2250
184,1282.476806640625,9.6533794304845095,1055,406,2223
185,1268.457275390625,9.5517585947659569,1041,401,2202.1199999999999
186,1254.5172119140625,9.4508280265901874,1030,397,2177.5599999999999
187,1240.679443359375,9.3507565144802243,1019,391.44000000000005,2153
188,1226.956787109375,9.2514061132568095,1008,387,2130.5599999999999
189,1213.40283203125,9.1534339308367283,996.5,382,2105.2399999999998
190,1199.9332275390625,9.0558720874871206,986.5,377,2079
191,1186.55810546875,8.9594833341060482,976.5,372,2057
192,1173.3009033203125,8.8639748644596263,966,367,2036
193,1160.252197265625,8.7690673411210138,955,364,2015.0599999999999
194,1147.291748046875,8.6755825962843804,944,359,1995
195,1134.45654296875,8.5825784822350606,935,355,1972.1199999999999
196,1121.8226318359375,8.4909440541753245,924,350,1949
197,1109.263916015625,8.4007439632066596,914.5,346,1926.1199999999999
198,1096.8253173828125,8.3109337881224459,905,340.94000000000005,1904
199,1084.5390625,8.2220497503457111,895,335.88000000000011,1883.1199999999999
200,1072.307861328125,8.1338532758526263,884,331,1862.1199999999999
201,1060.144775390625,8.0465466873790632,876,327.88000000000011,1841
202,1048.1983642578125,7.9602797768145948,866,324,1821.0599999999999
203,1036.3331298828125,7.8746056265013813,855.5,320,1799.5599999999999
204,1024.591064453125,7.7897908912466951,846,316,1780.5599999999999
205,1012.97265625,7.7049067619759466,834,312,1761
206,1001.443603515625,7.6212374554439606,827,308,1742
207,990.053466796875,7.5383494103455391,818,304,1721
208,978.78424072265625,7.4563078703846948,807,299.5,1703
209,967.61944580078125,7.3753140874324004,800,296.44000000000005,1683
210,956.59661865234375,7.2958764798313052,790,293,1662.0599999999999
211,945.69805908203125,7.2169865592298752,781,288,1643
212,934.8514404296875,7.1387982137960853,772,284,1625.0599999999999
213,924.10784912109375,7.0612710242447232,763,281,1608.1199999999999
214,913.50146484375,6.984719143794778,754.5,276.5,1591.5599999999999
215,902.96319580078125,6.9089093616465265,745.5,272.5,1575
216,892.51171875,6.8336308573619071,736.5,268.94000000000005,1557
217,882.21014404296875,6.7595138274449678,728,264.44000000000005,1538.5599999999999
218,872.02093505859375,6.6863870501426543,721,261.5,1519.5599999999999
219,861.91748046875,6.6142243811818346,711,258.5,1503
220,851.97027587890625,6.5430635359845182,704,255,1483.6799999999998
221,842.1173095703125,6.4726357156373142,696.5,251,1469
222,832.39349365234375,6.4030631821718993,689,248,1452.2399999999998
223,822.78143310546875,6.3339684927115076,682,245,1439
224,813.2490234375,6.2656841287234037,674,242,1423
225,803.78204345703125,6.197982913409664,667,238.5,1405.0599999999999
226,794.419921875,6.130700745138431,658.5,235,1390
227,785.150146484375,6.064578056830924,649,232,1373
228,775.9368896484375,5.9989683631327022,643,228,1359.0599999999999
229,766.84014892578125,5.9340201789522729,634,226,1342
