sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,-0.13123607063260759,0.095901457845522523,0,-3,4
1,-0.092033830504600261,0.091870434442293841,0,-3,4
2,-0.073061317789587979,0.087891851670871823,0,-3,4
3,-0.031344648265615178,0.084147834698237861,0,-3,4
4,-0.017572432710440598,0.080683095788338585,0,-3,3.5
5,-0.0065432310417738154,0.077323753710078616,0,-3,3.5
6,0.011286359220526888,0.073742486359141809,0,-3,3
7,0.0026572947025544319,0.070567624083188979,0,-3,3
8,0.019915423738499343,0.067422298815219092,0,-3,3
9,0.018086747814160808,0.064577862080714296,0,-3,3
10,0.03591633807646151,0.061877843701325007,0,-3,3
11,0.033573347048402764,0.059104029109538818,0,-3,3
12,0.044716840962340708,0.056192120134953533,0,-2.5,3
13,0.094948282759014804,0.053390150873666824,0,-2,3
14,0.091405223155608895,0.050989700104229894,0,-2,3
15,0.089405108863363628,0.048442840653029999,0,-2,3
16,0.10540602320132579,0.046030125358385326,0,-2,3
17,0.095005428881650381,0.043016786398968811,0,-2,3
18,0.090948054174524257,0.040006061925676378,0,-2,3
19,0.0952340133721927,0.036896856218665092,0,-2,3
20,0.11523515629464541,0.033594757995258399,0,-2,2.5
21,0.10689182238985084,0.030165263387413634,0,-2,2.5
22,0.11094919709697697,0.02662360797288742,0,-2,2.5
23,0.12077833019029659,0.022979863969030678,0,-2,2
24,0.12769301102920166,0.020691506401283699,0,-2,2
25,0.12060689182238984,0.020561974417687121,0,-2,2
26,0.12003543059603405,0.023052098083245088,0,-2,2
27,0.1270644036802103,0.026685904440600365,0,-2,2
28,0.14415109434824847,0.030799545668421652,0,-2,2
29,0.14523687067832447,0.035212855961127769,0,-2.5,2
30,0.13775072861306362,0.039755463741341202,0,-2.5,2.5
31,0.1308931938967941,0.044117972496206886,0,-2.6600000000000819,2
32,0.14557974741413796,0.048313294746404306,0,-3,2
33,0.16340933767643864,0.052268300120578821,0,-3,2.5
34,0.19803988799359964,0.055938777517042196,0,-3,2.5
35,0.18489627978741643,0.059977951649951233,0,-3,2.5
36,0.19106806103205898,0.063589363639593124,0,-3,2.5
37,0.19403965940910908,0.067205964336615312,0,-3,2.5
38,0.22775587176410081,0.070960773965658003,0,-3,3
39,0.2173552774444254,0.074748030830192283,0,-3,3
40,0.23849934281958968,0.078421836502408818,0,-3,3
41,0.25752900165723758,0.082030575790860483,0,-3,3
42,0.28364477970169721,0.085726002707429846,0,-3,3
43,0.32719012515000856,0.089560870049680663,0,-3,3
44,0.37444996856963253,0.093450921495117537,0,-3,3
45,0.3942796731241785,0.097613601262617741,0,-3.5,3
46,0.43553917366706668,0.10207171141658825,0,-3.5,3
47,0.46874107091833817,0.10688007552885496,0,-3.5,3
48,0.51657237556431801,0.11196154991372799,0,-4,3
49,0.56697525572889884,0.11698742992949525,0,-4,3
50,0.60737756443225333,0.12233807229356299,0,-4,3
51,0.70024001371506939,0.12852630413247773,0,-4,3
52,0.8463055031716098,0.13759707912163838,0,-4,3.5
53,1.1155208869078233,0.15204500253934011,0,-4,4
54,1.5089147951311503,0.1742168904264631,0,-4,4
55,2.316789530830333,0.20733845327753037,0,-4,4
56,4.0690610892050971,0.25697657860783429,0,-4,6
57,9.1653523058460475,0.33294964989716058,2,-3,13
58,25.056774672838447,0.45081819633634568,11,0.5,41
59,67.827275844333968,0.64155860529566433,46,14,115
60,156.17929595976912,0.9787723465006235,125,53,255
61,295.46714097948455,1.566452286726886,244,119,475
62,471.26067203840222,2.4128090585060677,384,199,752
63,661.21101205783191,3.4072359222234452,534,278.5,1047
64,847.7558431910395,4.4264208223161834,676,354,1344
65,1021.4864563689354,5.3987400285703488,807,424,1620
66,1178.4462826447225,6.2945699128648931,925,486,1869
67,1317.1566660952055,7.1003798052070639,1028,540.5,2087
68,1437.0987770729755,7.8080232594192527,1117,588,2275
69,1538.6079490256586,8.4135683233223997,1195,627,2439
70,1622.8496771244072,8.9184739440571654,1257,659.5,2566.3199999999997
71,1691.3641636664952,9.3305073335430002,1307,687,2675.3199999999997
72,1746.0237442139551,9.6591099898602533,1349,708.83999999999992,2761
73,1788.8871649808561,9.9149967120489855,1381,724,2830
74,1821.9545974055661,10.108937121190573,1406.5,737.5,2881
75,1847.1563232184697,10.252953280714593,1425,746.67999999999984,2921
76,1866.0689467969598,10.35707798196899,1439.5,755,2952
77,1880.0348305617463,10.427997757096218,1451,761,2976
78,1890.5579461683524,10.47240609666064,1461,766,2988
79,1899.8643065318017,10.500637953779634,1468,771.83999999999992,2998.3199999999997
80,1910.4795416880966,10.530929721169782,1478,779,3017
81,1924.1912966455227,10.579525338797646,1490,785,3037
82,1940.6975541459512,10.649329559472783,1503,792,3062
83,1958.3943939653695,10.729803308957857,1516,801,3085
84,1975.511143493914,10.809094942143931,1529,808.5,3112
85,1990.9256243213897,10.879825632833441,1541.5,814.83999999999992,3139
86,2003.9459111949254,10.938123874774725,1551,822,3158.1599999999999
87,2014.2300417166696,10.982896569405124,1561,826,3173.8199999999997
88,2021.6867535287731,11.013581513886299,1568,829.83999999999992,3184.3199999999997
89,2026.4241099491398,11.030264375735142,1571,832,3191.3199999999997
90,2028.4449111377794,11.033349612451673,1571,833,3192
91,2028.0541459511971,11.023819649361455,1571,833.5,3192.3199999999997
92,2025.4457111834961,11.002078452791727,1570,833,3188.3199999999997
93,2020.898137036402,10.970162652204058,1566,831,3177.3199999999997
94,2014.7412137836448,10.929732755919471,1562,828.83999999999992,3166.6399999999994
95,2007.2350134293388,10.883261437382624,1557,825.33999999999992,3154.1599999999999
96,1998.6589805131721,10.832212062629896,1552,822,3144.3199999999997
97,1989.1835247728441,10.777511431974297,1546.5,818,3131.3199999999997
98,1979.0235727755871,10.720119369126294,1538,815.67999999999984,3115.3199999999997
99,1968.3807931881822,10.660968489083363,1533,810,3097
100,1957.581376078633,10.601396587757906,1524,805,3080.5
101,1946.7960169152523,10.543591942287872,1516,800.83999999999992,3060.9799999999996
102,1936.2272987027829,10.488160409953032,1507,798,3046
103,1925.6893822504144,10.434595328540292,1498.5,794,3031
104,1915.0807188982228,10.381778089502875,1489,790,3017
105,1904.2231270358307,10.328616560026594,1480,785,2999.2999999999993
106,1893.0224869992571,10.274436103178392,1470.5,781,2981.3199999999997
107,1881.4614263672211,10.21886452116229,1461,776,2964.1599999999999
108,1869.5087433567633,10.161444287433813,1452,770,2948.3199999999997
109,1857.194211097777,10.102287431125799,1444,764,2930
110,1844.5685753471628,10.041139882002183,1434,758,2913.3199999999997
111,1831.5594891136636,9.9782249759363015,1424.5,752,2892.3199999999997
112,1818.3014743699639,9.9135214803750156,1415.5,746,2870.3199999999997
113,1804.8196754100234,9.8475474795042253,1405,740,2849
114,1791.1412937882164,9.7805205125227079,1394,734,2826
115,1777.2938167895309,9.7123521426255692,1381.5,727,2804
116,1763.2909023372765,9.643391824707459,1371,720,2782
117,1749.1615235156294,9.5735222391799972,1360,713,2762
118,1734.8853363049318,9.5029577636444635,1350,705,2737.3199999999997
119,1720.5580604605977,9.4316606354400356,1337,699,2715.6599999999999
120,1706.1412366420939,9.3597187767962051,1324.5,693,2694.3199999999997
121,1691.6928110177726,9.2875083853740481,1313,687,2668.3199999999997
122,1677.2376992971026,9.2149736166684679,1301,681,2643
123,1662.7779015943768,9.1425044713702999,1291,675,2620.4799999999996
124,1648.2562717869594,9.0695899565279525,1280,668.83999999999992,2595.3199999999997
125,1633.7401280073148,8.9962067830035792,1269,662,2572
126,1619.170838333619,8.9224638127907223,1257.5,655.33999999999992,2551.4799999999996
127,1604.5302874449969,8.8485144131636932,1247,648.83999999999992,2528
128,1589.8672209840563,8.7745059508806715,1236,641,2504.6599999999999
129,1575.1986113492198,8.700082213769841,1225,633.67999999999984,2482.3199999999997
130,1560.5170295445455,8.6253963987114339,1214,627,2460
131,1545.7931024629979,8.5507452097226011,1201,621,2436
132,1531.097005543174,8.4757241701164432,1191,614.33999999999992,2412.6599999999999
133,1516.3571918395337,8.4007454998703164,1179,609,2390.3199999999997
134,1501.683610492028,8.3256595181575275,1168,602,2369.1599999999999
135,1487.0070004000229,8.2507661938807093,1156,596,2345.1599999999999
136,1472.4238813646493,8.1757173841983874,1145,589,2321.6599999999999
137,1457.9135093433911,8.1009538724642276,1134,583,2298.6599999999999
138,1443.4733127607292,8.0265167620336015,1124,578,2273
139,1429.0456883250472,7.9521377001555189,1112,572,2249
140,1414.6769243956799,7.8779256433734055,1101,567,2229
141,1400.3205611749243,7.8036782478390405,1089,561,2208.1599999999999
142,1386.0236299217097,7.7292178700789007,1078,555,2186
143,1371.8071032630437,7.6549958647622844,1066,549,2162.3199999999997
144,1357.6263500771472,7.5810115108439682,1055,543,2140
145,1343.5113149322819,7.5071500272088327,1043,536,2118
146,1329.4593119606834,7.4336215535777592,1033,530,2097.1599999999999
147,1315.5040573747071,7.3605036183213981,1020.5,524,2075
148,1301.6182353277329,7.2877880782017392,1010.5,519,2052.1599999999999
149,1287.8293902508715,7.2151986710818274,999.5,513,2030
150,1274.1356363220755,7.1428804038821454,988,506,2008.6599999999999
151,1260.5602891593805,7.071144769838952,978,501,1987
152,1247.0546031201784,6.9997857344699961,967,496,1965.3199999999997
153,1233.6429795988342,6.9290016942403332,958,489.83999999999992,1947
154,1220.3413623635636,6.8585662447484674,947,483.5,1925
155,1207.1180924624264,6.7886617563214307,937,478,1905.3199999999997
156,1193.9648837076404,6.7191419371923278,927,472,1886
157,1180.9299674267102,6.649829278527899,916,466,1866.1599999999999
158,1167.9619121092635,6.5808440377793076,906,461,1845.1599999999999
159,1155.1295216869535,6.5125883707883165,895.5,455,1825.5
160,1142.3888507914737,6.4447133454281822,886,450,1807.3199999999997
161,1129.7336133493343,6.3776083850304426,876,444.83999999999992,1789
162,1117.206611806389,6.3109247379754301,866,440,1768.1599999999999
