sample,mean,mean_uncertainty,median,percentile_16,percentile_84
0,-0.31867219917012446,0.56855229909596816,0.5,-8,10
1,-0.2730290456431535,0.54799927976600082,0.25,-8,9.5
2,-0.14522821576763487,0.52502786418592662,0.5,-7.5,9.5
3,-0.03029045643153527,0.50168452233597516,0.5,-7,9
4,-0.054771784232365145,0.47755792206868747,0,-7.5,9
5,-0.12614107883817427,0.45041710384573463,0,-7,9
6,-0.11037344398340249,0.42195594521225527,0,-7.5,8.5
7,0.0058091286307053944,0.3909284580648214,0,-7.5,8.5
8,0.056846473029045642,0.36272640402019557,0,-7.5,8
9,0.12904564315352698,0.3402043786804187,0,-7.5,8
10,0.19460580912863071,0.32228273393087448,0,-7.5,8
11,0.36887966804979255,0.31145656320818887,0.25,-7.5,8
12,0.40165975103734441,0.30260084542617594,0,-7,8.5
13,0.32821576763485477,0.29239466621552446,0,-7,8.5
14,0.4161825726141079,0.27957813542855092,0,-7,8
15,0.50373443983402488,0.26497136231014246,0,-6.5,8
16,0.43817427385892116,0.25316023795190218,0,-6.5,8
17,0.30539419087136932,0.24473575615150711,0,-7,8
18,0.23983402489626557,0.23660633505808429,0,-7,8
19,0.18298755186721991,0.22834397086482919,0,-7,7.5
20,0.25311203319502074,0.21986067467759096,0,-7,7
21,0.21742738589211619,0.21073572996329226,0,-7,7.5
22,0.27427385892116185,0.19957889391886283,0,-7,7.5
23,0.37344398340248963,0.19057184956079026,0,-7,7.5
24,0.43278008298755188,0.18494453356736956,0,-7,7.5
25,0.35352697095435687,0.18034198252701034,0,-7,7.5
26,0.24356846473029045,0.18338938276966218,0,-7,7
27,0.14854771784232365,0.1935621777385976,0,-7,7
28,0.15892116182572613,0.2101206204710607,0,-7.5,6.5
29,0.35726141078838175,0.22921997982969525,0,-8,7.5
30,0.46473029045643155,0.2489470468613777,0,-7.5,7
31,0.66141078838174272,0.27142679036577078,0,-7,7
32,0.70331950207468885,0.2939092506490345,0,-7,7.5
33,0.6199170124481328,0.31887741370235706,0,-8,7
34,0.55850622406639006,0.34313772496776268,-0.5,-8,7
35,0.64273858921161831,0.36566627371479182,-0.5,-8,7.5
36,0.79709543568464736,0.38736732446609645,0,-8,7.5
37,0.81452282157676348,0.40882950164669796,-0.5,-8,7
38,0.84190871369294606,0.42946504460988622,0,-8,7.5
39,1.029460580912863,0.45099422472208078,0,-8,7
40,1.1485477178423236,0.47431615157649365,0,-8,8
41,1.3116182572614108,0.49550043703692315,0,-8,8
42,1.4398340248962656,0.52018118984171091,0,-8.5,8
43,1.6132780082987552,0.54628313603395939,0,-8.5,8
44,1.7717842323651452,0.57684921613085194,0,-9,8
45,1.829460580912863,0.61074396290546817,0,-9,8
46,1.904564315352697,0.6501869282785917,-0.5,-9,8
47,2.0078838174273859,0.69014063244770429,-0.5,-9.5,8.5
48,2.2348547717842324,0.73506622244715236,-0.5,-9.5,8.5
49,2.478838174273859,0.78251839621065533,-0.5,-10,9
50,2.8448132780082989,0.83533428914091334,-0.5,-10,9.5
51,3.2788381742738588,0.89085999300148511,0,-10.5,10
52,3.7850622406639003,0.95057335120028075,-0.5,-10.780000000000001,10
53,4.6481327800829879,1.0186251458164475,-0.5,-10.5,10.5
54,5.9311203319502077,1.1055888995898373,0,-10.5,11.279999999999973
55,8.0788381742738586,1.2273396248776645,0,-10,13
56,12.046058091286307,1.4075689835810292,1,-10,15.779999999999973
57,19.255601659751036,1.6816541760098236,2,-9,24
58,32.601659751037346,2.1034027566352216,4,-7,53
59,56.656431535269711,2.7301463260715226,8.5,-5,116
60,97.31120331950207,3.5982339904373388,26,-2.2800000000000011,210
61,161.44356846473028,4.7222148830901594,68.5,2,343.5
62,251.58796680497926,6.1223189737971593,153.75,9,493.55999999999995
63,364.302489626556,7.7601187208400528,259,30.219999999999999,675
64,491.64771784232363,9.5196546441160805,371,76,866.33999999999992
65,624.32406639004148,11.274530789997947,486.5,141,1078
66,754.78672199170126,12.927037731200269,596.75,221.44,1255.8399999999999
67,877.2900414937759,14.415428135228543,689,298.44,1432.1199999999999
68,988.13319502074694,15.703290733213658,782.25,367.22000000000003,1593.5599999999999
69,1084.9896265560167,16.779692812955435,862.75,429.72000000000003,1716.5599999999999
70,1167.1506224066391,17.644210303750981,927,486,1824.2999999999997
71,1234.7751037344399,18.318854022084029,980,523.72000000000003,1921.4599999999998
72,1288.6804979253111,18.825449200092589,1017.5,562.5,2004.6799999999998
73,1330.2572614107885,19.18954822807742,1049.5,589.5,2056.1799999999998
74,1361.6045643153527,19.441736789716188,1071,612.5,2098.46
75,1384.9792531120331,19.619827553943061,1088,629.22000000000003,2129.5599999999999
76,1402.6580912863071,19.762596073656436,1102,648,2155.2799999999993
77,1416.503734439834,19.895671149255143,1111.75,658,2165.0799999999999
78,1427.9136929460581,20.016616070325661,1119.75,665.44000000000005,2179.0399999999995
79,1437.9344398340249,20.124931978097788,1127,671.44000000000005,2191.2399999999998
80,1446.8800829875518,20.226478012126833,1135,677.72000000000003,2199.7799999999997
81,1454.634439834025,20.323168342524308,1140,684,2211.3999999999996
82,1460.9738589211618,20.407172473710606,1143.75,687.44000000000005,2222.8999999999996
83,1465.3879668049792,20.462341403154731,1144,691,2227
84,1467.8136929460582,20.482842836131052,1143.75,694.22000000000003,2232.3999999999996
85,1468.4585062240665,20.478860488000919,1141.75,695,2236.46
86,1468.0755186721992,20.461099046678875,1142.5,694,2237.3599999999997
87,1467.0746887966804,20.438191155469873,1140.5,694.5,2240.3599999999997
88,1465.8804979253111,20.414743865430854,1140.75,694,2235.46
89,1464.2809128630706,20.388788283697302,1138.5,691.22000000000003,2235.619999999999
90,1461.9883817427385,20.358609859267681,1133,692.44000000000005,2236.2399999999998
91,1458.6585062240663,20.315686154271262,1127.25,691.22000000000003,2227.5599999999999
92,1454.2186721991702,20.264344091412152,1125.75,688.44000000000005,2221.7799999999997
93,1448.3647302904565,20.202454283247917,1122,684,2208.2799999999997
94,1441.1319502074689,20.128374915719938,1118,679.44000000000005,2197.0599999999999
95,1432.8336099585063,20.035735740114941,1113.75,674.72000000000003,2187.2799999999997
