event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
1,2080,217,48,-32,2031,362,2061,406
1,2080,220,48,-16,2030,116,2060,321
1,2080,224,32,-16,2030,118,2060,325
1,2080,231,32,-48,2031,380,2060,331
1,2080,234,-128,-48,2030,124,2060,334
1,2080,249,112,80,2031,399,2060,349
1,2081,146,48,-48,2031,362,2061,406
1,2081,149,48,-16,2030,116,2060,321
1,2081,153,32,-32,2030,118,2060,325
1,2081,161,32,-16,2031,380,2060,331
1,2081,163,-128,-48,2030,124,2060,334
1,2081,178,112,64,2031,399,2060,349
2,2080,451,64,0,2031,363,2060,405
2,2080,454,32,-16,2031,365,2060,408
2,2080,455,16,-16,2030,149,2060,409
2,2080,457,-32,-112,2030,151,2060,412
2,2080,463,16,-32,2031,375,2060,414
2,2080,467,32,0,2031,380,2060,418
2,2080,470,0,-80,2030,165,2060,427
2,2081,113,64,-16,2031,363,2060,405
2,2081,116,32,-16,2031,365,2060,408
2,2081,117,48,-16,2031,366,2060,409
2,2081,118,-32,-96,2030,151,2060,412
2,2081,124,16,-64,2031,375,2060,414
2,2081,128,32,-16,2031,380,2060,418
2,2081,133,0,-64,2030,165,2060,427
3,2080,392,48,16,2031,151,2060,193
3,2080,393,48,-32,2031,153,2060,195
3,2080,396,32,-16,2030,123,2060,199
3,2080,399,64,0,2030,126,2060,201
3,2080,407,64,-16,2031,173,2060,208
3,2080,418,32,-32,2031,187,2060,220
3,2081,78,48,-32,2031,153,2060,195
3,2081,81,32,-32,2030,123,2060,199
3,2081,84,64,0,2030,126,2060,201
3,2081,92,64,-32,2031,173,2060,208
3,2081,105,32,-32,2031,187,2060,220
4,2080,219,48,0,2031,260,2060,302
4,2080,220,48,-16,2031,261,2060,303
4,2080,231,0,0,2031,268,2061,449
4,2080,233,96,32,2030,550,2060,312
4,2080,235,64,16,2030,551,2060,316
4,2080,239,16,-80,2031,277,2060,319
4,2080,241,16,-32,2031,279,2060,323
4,2080,243,16,-32,2031,281,2060,324
4,2080,244,64,-32,2030,559,2060,326
4,2080,247,32,-16,2030,564,2060,332
4,2080,252,16,0,2031,294,2061,473
4,2080,256,32,-16,2031,299,2060,343
4,2081,483,48,16,2031,260,2060,302
4,2081,484,48,-16,2031,261,2060,303
4,2081,493,0,-16,2031,268,2061,449
4,2081,496,96,16,2030,550,2060,312
4,2081,498,64,0,2030,551,2060,316
4,2081,502,16,-96,2031,277,2060,319
4,2081,504,16,-48,2031,279,2060,323
4,2081,507,16,-16,2031,281,2060,324
4,2081,508,64,-16,2030,559,2060,326
4,2081,511,32,0,2030,564,2060,332
4,2081,515,48,0,2030,570,2061,473
4,2081,519,32,0,2031,299,2060,343
5,2080,290,-16,-16,2031,484,2061,129
5,2080,312,16,-16,2031,507,2060,457
5,2080,314,32,0,2031,509,2060,459
5,2080,316,32,-32,2031,510,2060,462
5,2081,334,-16,-32,2031,484,2061,129
5,2081,355,16,-16,2031,507,2060,457
5,2081,356,32,-16,2031,509,2060,459
5,2081,359,32,-32,2031,510,2060,462
6,2080,467,0,-16,2030,169,2060,248
6,2080,468,32,0,2031,219,2060,250
6,2080,469,48,0,2030,174,2060,252
6,2081,392,0,-48,2030,169,2060,248
6,2081,393,32,-32,2031,219,2060,250
6,2081,394,32,0,2031,221,2060,252
7,2080,302,64,-48,2031,101,2061,360
7,2080,307,64,-16,2030,399,2060,150
7,2080,308,64,0,2031,113,2060,151
7,2080,310,-64,-48,2030,404,2060,154
7,2081,275,64,-48,2031,101,2061,360
7,2081,277,48,0,2031,107,2060,144
7,2081,281,64,-16,2030,399,2060,150
7,2081,282,64,0,2031,113,2060,151
7,2081,284,-64,-64,2030,404,2060,154
8,2080,484,-112,-80,2030,421,2060,263
8,2080,499,48,-16,2031,239,2060,278
8,2080,502,48,-32,2030,429,2060,280
8,2080,512,48,-48,2031,253,2061,216
8,2080,515,-16,-48,2031,255,2060,294
8,2080,516,-144,-112,2030,438,2061,222
8,2080,518,32,-16,2031,259,2060,300
8,2081,128,-112,-96,2030,421,2060,263
8,2081,143,48,-16,2031,239,2060,278
8,2081,146,48,-32,2030,429,2060,280
8,2081,156,48,-32,2031,253,2061,216
8,2081,159,-16,-80,2031,255,2060,294
8,2081,160,-144,-96,2030,438,2061,222
8,2081,162,32,0,2031,259,2060,300
9,2080,433,0,-32,2031,301,2061,136
9,2080,440,80,0,2030,62,2060,356
9,2080,445,80,-16,2031,319,2060,359
9,2080,449,64,-32,2030,70,2060,365
9,2080,450,112,-16,2031,326,2061,151
9,2080,451,32,-32,2030,73,2060,369
9,2080,454,-16,16,2030,77,2060,373
9,2081,268,64,16,2030,52,2061,136
9,2081,275,96,-16,2031,313,2060,356
9,2081,280,80,-32,2031,319,2060,359
9,2081,284,64,-16,2030,70,2060,365
9,2081,285,112,-16,2031,326,2061,151
9,2081,286,32,0,2030,73,2060,369
9,2081,289,-16,-48,2030,77,2060,373
10,2080,387,16,-32,2031,261,2060,226
10,2080,388,16,-48,2031,262,2060,228
10,2080,390,-16,-64,2030,145,2060,230
10,2080,410,64,32,2031,282,2060,251
10,2081,490,16,-32,2031,261,2060,226
10,2081,491,16,-16,2031,262,2060,228
10,2081,493,-16,-48,2030,145,2060,230
10,2081,512,64,32,2031,282,2060,251
11,2080,388,16,-48,2031,219,2061,503
11,2080,390,32,-32,2031,223,2061,504
11,2080,395,112,-32,2031,227,2060,185
11,2080,396,32,0,2031,229,2060,186
11,2080,403,32,16,2031,232,2060,191
11,2080,406,16,-16,2030,157,2060,193
11,2080,411,16,-32,2031,238,2060,198
11,2080,413,64,96,2030,161,2060,200
11,2080,415,80,0,2031,242,2060,204
11,2081,102,16,-48,2031,219,2061,503
11,2081,104,32,-32,2031,223,2061,504
11,2081,108,112,-16,2031,227,2060,185
