event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
1,2080,99,0,0,2031,232,2050,150
1,2080,114,-16,-16,2030,466,2050,176
1,2081,9,16,0,2040,385,2050,150
1,2081,24,-16,0,2030,466,2050,176
1,2081,27,16,64,2030,469,2050,181
2,2080,267,-16,0,2040,429,2050,122
2,2080,279,128,48,2030,389,2060,169
2,2081,95,-16,0,2040,429,2050,122
4,2080,257,-16,0,2030,398,2050,222
4,2080,260,16,-32,2030,402,2050,225
4,2081,192,-16,0,2030,398,2050,222
4,2081,195,16,-16,2030,402,2050,225
5,2070,548,48,64,2030,436,2060,244
5,2071,665,48,64,2030,436,2060,244
5,2080,564,80,-112,2041,479,2050,623
5,2080,567,-16,-16,2041,482,2050,626
5,2080,579,48,-32,2031,205,2060,254
5,2080,598,0,-16,2030,469,2050,661
5,2081,145,80,-112,2041,479,2050,623
5,2081,147,-16,-32,2041,482,2050,626
5,2081,158,48,-16,2031,205,2060,254
5,2081,180,0,-16,2030,469,2050,661
7,2080,243,128,0,2030,599,2051,126
7,2080,245,16,-16,2040,455,2060,349
7,2080,255,-16,0,2031,426,2050,320
7,2081,208,144,0,2031,397,2051,126
7,2081,222,-16,-32,2031,426,2050,320
8,2080,456,0,64,2030,519,2050,287
8,2081,486,0,16,2030,519,2050,287
10,2071,471,0,64,2040,166,2060,121
10,2080,392,-16,-32,2030,216,2050,246
10,2080,404,-32,0,2040,166,2050,252
10,2080,407,128,64,2030,229,2050,255
10,2081,446,-16,-16,2030,216,2050,246
10,2081,457,-32,0,2040,166,2050,252
10,2081,460,128,96,2030,229,2050,255
11,2080,415,0,16,2041,282,2050,385
12,2080,355,0,0,2031,386,2050,279
12,2081,162,16,0,2030,190,2050,279
13,2080,220,0,-16,2040,505,2050,137
13,2080,234,32,0,2041,460,2060,266
13,2081,579,0,-32,2040,505,2050,137
13,2081,592,0,0,2031,323,2051,180
14,2080,469,16,-16,2030,137,2050,434
14,2080,479,-16,0,2031,184,2051,376
14,2080,490,48,16,2040,282,2050,452
14,2081,400,0,0,2040,258,2050,434
14,2081,409,-16,0,2031,184,2051,376
14,2081,419,48,16,2040,282,2050,452
15,2080,259,48,16,2041,430,2060,309
15,2080,263,16,0,2031,354,2060,311
15,2080,281,0,0,2030,422,2050,250
15,2080,285,80,0,2031,389,2060,345
15,2081,74,64,0,2040,171,2060,309
15,2081,78,16,-16,2031,354,2060,311
15,2081,94,0,0,2030,422,2050,250
15,2081,97,64,0,2040,213,2060,345
16,2080,269,80,0,2031,434,2060,464
16,2081,147,80,0,2031,434,2060,464
17,2080,395,96,0,2031,216,2060,250
17,2081,142,96,0,2031,216,2060,250
19,2080,371,32,-32,2040,311,2060,120
19,2081,219,32,-32,2040,311,2060,120
20,2070,358,-64,192,2030,107,2060,192
20,2071,490,-64,192,2030,107,2060,192
20,2080,379,0,0,2041,306,2050,423
20,2080,391,64,-16,2040,252,2060,202
20,2081,67,0,0,2041,306,2050,423
20,2081,80,64,-16,2040,252,2060,202
21,2080,487,-16,-16,2031,292,2051,127
21,2080,501,64,0,2031,307,2060,350
21,2081,94,-16,-32,2031,292,2051,127
21,2081,108,64,0,2031,307,2060,350
22,2080,388,32,64,2040,232,2060,201
24,2080,257,-16,0,2030,132,2051,96
24,2080,268,-64,16,2040,194,2050,228
24,2080,280,0,0,2031,501,2051,116
24,2081,354,-16,-16,2030,132,2051,96
24,2081,366,-64,16,2040,194,2050,228
25,2070,482,0,112,2041,425,2050,161
25,2080,197,0,0,2030,288,2050,156
25,2080,199,0,0,2030,293,2060,379
25,2080,200,16,0,2040,251,2050,161
25,2081,54,-16,0,2030,288,2051,89
25,2081,56,0,-80,2030,293,2060,379
25,2081,57,16,-16,2040,251,2050,161
26,2080,388,48,0,2030,187,2060,258
26,2080,403,64,-16,2031,233,2060,269
26,2081,150,48,0,2030,187,2060,258
27,2070,359,-48,-96,2030,479,2050,407
27,2071,104,-48,-112,2030,479,2050,407
27,2080,434,0,0,2031,125,2061,266
27,2081,287,0,0,2031,125,2061,266
28,2081,549,0,-32,2031,242,2060,281
29,2080,322,16,0,2041,428,2050,280
29,2080,335,0,0,2040,269,2050,305
29,2081,400,16,0,2041,428,2050,280
29,2081,414,0,16,2040,269,2050,305
30,2080,175,-16,0,2030,340,2051,6
30,2080,184,16,-16,2040,278,2060,109
30,2080,190,0,0,2040,291,2050,251
30,2081,307,-16,0,2030,340,2051,6
30,2081,317,48,0,2041,389,2060,109
30,2081,324,16,0,2030,361,2050,251
32,2080,111,0,0,2040,347,2050,54
32,2081,143,0,-16,2040,347,2050,54
32,2081,148,48,32,2031,231,2060,196
32,2081,159,-32,0,2040,370,2050,68
33,2070,221,0,48,2031,133,2060,175
33,2080,453,-16,-64,2040,214,2050,423
33,2081,506,-16,-48,2040,214,2050,423
34,2080,386,64,16,2031,184,2060,221
34,2081,151,64,16,2031,184,2060,221
35,2080,393,-32,0,2030,501,2050,132
35,2081,300,-32,0,2030,501,2050,132
36,2080,403,32,32,2040,435,2050,195
36,2080,408,16,0,2030,560,2060,237
36,2080,421,-16,0,2031,299,2050,217
36,2080,423,-48,0,2040,466,2050,221
36,2081,162,32,16,2040,435,2050,195
36,2081,166,0,0,2031,278,2051,350
36,2081,178,32,0,2031,291,2050,214
36,2081,181,32,0,2031,299,2060,257
38,2070,432,16,64,2031,65,2060,106
38,2070,433,48,192,2040,254,2050,349
38,2071,493,48,176,2040,254,2050,349
38,2080,286,64,0,2031,64,2060,103
38,2080,287,48,0,2041,388,2060,106
38,2080,288,80,0,2031,66,2061,141
38,2080,297,64,32,2030,476,2051,219
38,2081,168,0,0,2030,471,2050,341
38,2081,170,48,0,2041,388,2060,106
38,2081,171,80,-16,2031,66,2061,141
38,2081,179,64,64,2030,476,2051,219
39,2080,341,48,0,2030,265,2060,161
39,2080,342,0,16,2031,200,2050,230
39,2080,348,16,-16,2031,204,2051,386
39,2081,129,48,-16,2030,265,2060,161
39,2081,130,0,0,2031,200,2050,230
39,2081,136,16,-32,2031,204,2051,386
40,2080,380,-32,0,2041,142,2050,429
40,2081,528,32,64,2031,244,2060,284
41,2080,354,16,0,2030,391,2050,243
41,2081,155,16,0,2030,391,2050,243
42,2080,557,16,0,2040,221,2050,525
42,2080,571,64,-16,2041,312,2060,476
42,2081,148,16,0,2040,221,2050,525
42,2081,159,64,-16,2041,312,2060,476
43,2070,314,16,96,2040,178,2051,223
43,2071,584,16,80,2040,178,2051,223
43,2080,482,32,-16,2030,324,2060,408
43,2080,488,0,0,2040,175,2051,221
43,2080,492,16,0,2040,178,2051,223
43,2080,505,16,16,2030,343,2050,465
43,2080,506,-48,0,2040,198,2051,234
43,2080,516,-48,0,2040,204,2051,238
43,2081,100,80,0,2031,367,2060,408
43,2081,106,-16,0,2040,175,2050,452
43,2081,111,16,-16,2040,178,2051,223
43,2081,122,16,16,2030,343,2050,465
43,2081,123,-48,0,2040,198,2051,234
43,2081,133,-64,0,2040,204,2050,472
44,2080,363,-16,0,2030,118,2051,269
44,2081,301,16,0,2031,187,2060,232
45,2080,620,32,-16,2040,335,2050,150
45,2080,624,0,0,2040,353,2050,158
45,2080,625,16,0,2030,452,2051,660
45,2080,635,0,16,2040,370,2050,172
45,2081,401,32,-16,2040,335,2050,150
45,2081,406,0,0,2040,353,2050,158
45,2081,408,0,0,2031,258,2051,660
47,2080,420,-16,0,2031,323,2050,257
47,2081,176,-16,0,2031,323,2050,257
48,2070,491,16,48,2031,291,2051,126
48,2071,498,16,48,2031,291,2051,126
48,2080,158,0,0,2030,362,2050,212
48,2081,96,16,0,2031,291,2051,126
49,2080,325,0,0,2031,405,2050,292
49,2081,200,0,0,2031,405,2050,292
50,2080,450,0,16,2031,186,2050,410
50,2081,91,0,0,2031,186,2050,410
52,2080,442,112,96,2040,154,2050,407
52,2080,446,0,0,2040,160,2050,414
52,2081,97,112,48,2040,154,2050,407
52,2081,101,0,0,2040,160,2050,414
53,2080,232,0,0,2030,104,2050,198
53,2080,236,-32,0,2041,486,2050,204
53,2080,239,0,0,2031,417,2050,210
53,2081,520,-16,0,2041,486,2051,146
53,2081,523,0,-16,2031,417,2050,210
53,2081,529,144,224,2041,502,2051,166
55,2080,449,48,144,2031,216,2050,397
55,2081,352,0,0,2031,211,2050,394
55,2081,354,48,128,2031,216,2050,397
55,2081,362,-16,-16,2040,324,2050,406
56,2080,371,16,-16,2030,272,2050,239
56,2081,110,16,0,2030,272,2050,239
57,2070,289,48,64,2030,393,2060,465
57,2080,503,0,0,2040,199,2050,568
57,2080,511,64,0,2041,250,2060,465
57,2081,347,0,-16,2040,199,2050,568
57,2081,355,80,-16,2031,434,2060,465
58,2080,231,128,-16,2031,371,2051,139
58,2081,492,128,-48,2031,371,2051,139
59,2070,260,16,32,2041,198,2060,130
59,2071,490,16,32,2041,198,2060,130
59,2080,390,64,0,2031,87,2060,124
60,2080,337,-16,-16,2030,474,2050,136
60,2080,339,96,16,2031,226,2050,139
60,2081,437,-16,-16,2030,474,2050,136
60,2081,438,64,-32,2030,476,2060,175
60,2081,439,96,16,2031,226,2050,139
63,2070,506,32,80,2041,333,2060,427
63,2071,139,32,64,2041,333,2060,427
63,2080,555,0,-16,2040,481,2050,622
63,2081,162,0,-32,2040,481,2050,622
63,2081,165,-128,192,2030,283,2060,431
64,2080,317,48,0,2030,510,2060,349
64,2081,142,64,0,2031,384,2060,349
65,2080,190,0,0,2030,439,2050,234
65,2080,200,32,0,2041,166,2050,246
65,2080,201,0,0,2031,326,2051,132
65,2081,58,0,-16,2030,439,2050,234
65,2081,67,32,0,2041,166,2050,246
65,2081,68,0,0,2031,326,2051,132
66,2080,230,-16,0,2040,94,2050,137
66,2081,462,-16,0,2040,94,2050,137
67,2080,315,48,16,2040,150,2050,237
67,2080,320,16,0,2040,155,2060,117
67,2081,428,48,16,2040,150,2050,237
67,2081,433,32,0,2030,206,2060,117
68,2070,455,64,224,2040,350,2061,150
68,2071,141,48,192,2040,350,2060,311
68,2080,500,64,-32,2040,348,2060,310
68,2080,515,32,-144,2041,410,2060,325
68,2081,201,64,-32,2040,348,2060,310
68,2081,214,32,-144,2041,410,2060,325
69,2080,363,0,-16,2040,178,2050,335
69,2080,397,-16,-64,2040,225,2050,360
69,2081,140,0,0,2040,178,2050,335
69,2081,177,-16,-16,2040,225,2050,360
70,2080,440,48,0,2030,219,2060,329
70,2080,452,64,0,2040,390,2060,345
70,2081,182,-16,0,2030,219,2050,489
70,2081,195,80,0,2031,302,2060,345
72,2070,452,16,64,2031,279,2060,322
72,2071,588,16,48,2031,279,2060,322
72,2080,539,-16,0,2040,136,2051,358
72,2080,548,-160,144,2031,287,2060,327
72,2081,471,-16,0,2040,136,2051,358
72,2081,480,-160,144,2031,287,2060,327
73,2070,499,144,64,2040,545,2060,251
73,2071,572,144,64,2040,545,2060,251
73,2080,408,16,0,2041,367,2050,461
73,2080,426,32,0,2031,217,2051,352
73,2080,427,48,-16,2031,218,2060,256
73,2080,430,-80,-112,2030,184,2060,260
73,2081,302,0,0,2031,197,2050,461
73,2081,310,16,0,2041,375,2050,467
73,2081,317,48,0,2031,211,2060,247
73,2081,322,48,-16,2031,218,2060,256
73,2081,326,-80,-112,2030,184,2060,260
74,2080,265,48,-32,2031,297,2060,349
74,2080,269,0,-16,2040,127,2050,174
74,2080,271,32,0,2031,314,2061,475
74,2080,286,48,0,2031,335,2060,376
74,2081,80,48,0,2031,297,2060,349
74,2081,84,0,-16,2040,127,2050,174
74,2081,86,48,-32,2030,44,2061,475
74,2081,101,64,0,2030,61,2060,376
75,2071,446,16,16,2030,363,2060,258
75,2080,166,64,32,2031,296,2060,254
75,2080,170,16,0,2040,229,2060,257
75,2080,172,-16,-32,2040,230,2050,139
75,2081,49,64,16,2031,296,2060,254
75,2081,54,-16,0,2040,229,2050,137
75,2081,56,-16,-64,2040,230,2050,139
76,2080,185,0,16,2031,285,2050,144
76,2081,321,16,0,2030,356,2050,144
77,2080,465,64,0,2031,208,2060,260
77,2080,499,-16,-16,2031,252,2050,569
77,2081,592,0,0,2041,158,2050,531
77,2081,625,-16,0,2031,252,2050,569
78,2080,244,16,-16,2040,174,2060,308
78,2080,249,80,0,2031,361,2060,313
78,2080,253,0,-64,2040,187,2060,315
78,2081,466,-32,0,2040,174,2050,215
78,2081,470,80,0,2031,361,2060,313
78,2081,474,0,-80,2040,187,2060,315
80,2080,523,48,-16,2030,154,2060,237
80,2080,533,64,0,2040,302,2060,251
80,2081,455,48,0,2030,154,2060,237
80,2081,465,64,0,2040,302,2060,251
81,2080,335,16,0,2030,117,2050,307
81,2080,337,0,0,2041,153,2051,191
81,2081,213,0,0,2040,265,2050,307
81,2081,216,-16,0,2041,153,2050,312
82,2080,507,64,-16,2031,237,2060,284
82,2080,513,0,16,2030,204,2050,483
82,2081,163,64,-16,2031,237,2060,284
82,2081,169,0,-16,2030,204,2050,483
83,2080,426,-16,0,2041,355,2050,487
83,2081,120,48,0,2041,355,2060,229
84,2080,191,64,-32,2040,349,2060,94
84,2080,201,-16,0,2030,319,2050,64
84,2080,208,16,0,2040,373,2060,111
84,2080,213,0,0,2040,376,2050,78
84,2080,219,16,0,2030,341,2050,89
84,2081,472,64,-32,2040,349,2060,94
84,2081,483,0,0,2030,319,2060,104
84,2081,490,0,-32,2030,326,2050,70
84,2081,497,0,0,2040,376,2050,78
84,2081,503,16,0,2030,341,2050,89
88,2080,366,112,16,2030,118,2060,290
88,2080,378,0,-16,2030,129,2050,430
88,2080,382,0,-16,2041,475,2050,434
88,2080,384,48,0,2031,355,2061,169
88,2081,183,112,0,2030,118,2060,290
88,2081,197,0,0,2041,475,2050,434
88,2081,198,48,16,2031,355,2061,169
90,2070,401,48,48,2030,349,2060,521
90,2071,56,48,32,2030,349,2060,521
90,2080,281,80,-16,2031,479,2060,521
90,2080,288,0,0,2030,355,2050,252
90,2080,295,0,16,2031,492,2050,259
90,2081,79,80,-32,2031,479,2060,521
90,2081,85,16,0,2041,440,2050,252
91,2080,177,-80,-96,2031,267,2060,231
91,2080,198,32,0,2031,287,2061,323
91,2080,201,32,0,2041,407,2050,164
91,2081,99,-80,-80,2031,267,2060,231
91,2081,119,-16,-16,2031,287,2060,248
91,2081,122,16,0,2040,366,2050,164
92,2080,232,16,-16,2030,262,2050,141
92,2080,238,0,0,2030,269,2050,153
92,2080,249,16,0,2040,122,2050,164
92,2081,69,16,0,2030,262,2050,141
92,2081,87,32,0,2030,281,2050,164
94,2080,438,64,0,2031,181,2060,222
94,2080,460,64,-16,2041,373,2061,172
94,2081,496,64,0,2031,181,2060,222
94,2081,517,64,-32,2041,373,2061,172
95,2080,436,32,0,2030,137,2050,266
95,2081,170,32,0,2030,137,2050,266
97,2080,167,32,0,2031,287,2050,221
97,2080,168,32,0,2031,288,2061,117
97,2080,181,0,0,2030,462,2051,150
97,2080,195,-48,16,2031,316,2050,242
97,2081,497,0,0,2040,331,2050,221
97,2081,498,-16,0,2031,288,2051,143
97,2081,512,0,0,2030,462,2051,150
97,2081,524,-48,0,2031,316,2050,242
98,2080,412,-32,-16,2031,234,2050,161
98,2081,447,-32,-48,2031,234,2050,161
99,2070,450,48,96,2041,406,2060,301
99,2071,107,48,80,2041,406,2060,301
99,2080,242,64,0,2040,116,2050,152
99,2080,264,0,0,2040,129,2050,165
99,2080,277,64,0,2030,483,2060,316
99,2081,515,64,-16,2040,116,2050,152
99,2081,537,0,0,2040,129,2050,165
99,2081,549,64,0,2030,483,2060,316
100,2070,213,16,64,2040,62,2051,129
100,2071,261,16,80,2040,62,2051,129
100,2071,265,48,64,2040,75,2060,378
100,2080,330,48,-32,2031,408,2060,376
100,2080,331,64,0,2041,233,2060,378
100,2080,332,0,-16,2030,447,2060,380
100,2081,109,48,-48,2031,408,2060,376
100,2081,110,48,0,2040,75,2060,378
100,2081,111,0,-16,2030,447,2060,380
101,2080,107,16,-16,2040,264,2060,188
101,2080,111,-16,-16,2031,234,2050,160
101,2081,392,-48,16,2040,264,2050,156
101,2081,394,-16,-16,2031,234,2050,160
102,2080,499,64,0,2031,368,2060,409
102,2080,503,0,-16,2041,268,2050,472
102,2081,157,64,0,2031,368,2060,409
102,2081,161,0,0,2030,335,2051,231
103,2080,472,32,0,2031,294,2050,384
103,2080,477,16,-48,2040,190,2060,349
103,2081,534,32,0,2031,294,2050,384
103,2081,539,16,-32,2040,190,2060,349
104,2070,475,0,64,2041,440,2060,226
104,2071,520,0,64,2041,440,2060,226
104,2080,113,-160,-48,2030,493,2061,291
104,2080,130,0,-16,2041,440,2060,226
104,2081,381,-160,-64,2030,493,2061,291
104,2081,396,0,0,2031,276,2050,186
105,2080,363,48,0,2040,231,2060,154
105,2080,364,16,16,2040,233,2050,277
105,2081,500,48,-16,2040,231,2060,154
105,2081,501,16,-64,2040,233,2050,277
105,2081,516,-32,-16,2030,84,2051,322
106,2080,138,0,0,2030,402,2050,108
106,2080,140,-32,16,2030,403,2051,68
106,2081,310,0,-16,2030,402,2050,108
106,2081,311,-32,0,2030,403,2051,68
110,2080,341,32,0,2030,396,2060,577
110,2080,346,64,0,2031,544,2060,583
110,2080,361,32,0,2040,207,2060,601
110,2080,370,-48,0,2040,221,2051,163
110,2081,261,48,0,2031,520,2060,577
110,2081,266,80,-16,2040,193,2060,583
110,2081,281,64,0,2030,427,2060,601
110,2081,289,-48,0,2040,221,2051,163
111,2080,524,64,-16,2041,412,2060,225
111,2081,143,64,0,2041,412,2060,225
112,2080,299,0,0,2031,365,2051,234
112,2081,504,-16,0,2031,365,2050,191
113,2080,145,16,-32,2040,200,2050,108
113,2080,154,0,16,2031,405,2050,124
113,2080,168,64,0,2030,381,2060,466
113,2081,248,0,0,2031,390,2050,108
113,2081,258,0,16,2031,405,2050,124
113,2081,271,48,0,2031,425,2060,466
114,2070,325,16,80,2040,218,2060,180
114,2070,326,48,64,2030,499,2060,182
114,2071,54,16,64,2040,218,2060,180
114,2071,55,48,80,2030,499,2060,182
114,2080,406,-32,0,2040,218,2051,340
114,2080,418,64,-16,2041,275,2060,196
114,2081,89,-48,0,2040,218,2050,370
114,2081,101,96,0,2040,233,2060,196
115,2080,297,0,-32,2041,437,2060,522
115,2081,178,0,-48,2041,437,2060,522
116,2070,515,-16,32,2031,94,2061,279
116,2071,524,-16,64,2031,94,2061,279
116,2080,417,16,-32,2031,88,2050,311
116,2080,420,-32,16,2040,177,2050,317
116,2081,55,16,-16,2031,88,2050,311
116,2081,58,-32,0,2040,177,2050,317
117,2080,237,0,-16,2040,92,2060,453
117,2080,244,-16,-16,2030,311,2050,153
117,2080,265,0,-16,2040,137,2050,176
117,2081,59,-16,-32,2030,311,2050,153
