event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
1,1020,665,32,0,2030,444,2060,233
1,1020,682,32,16,2031,276,2060,242
1,1020,697,32,16,2031,289,2060,253
1,1020,706,16,64,2030,480,2060,256
1,1021,759,32,48,2030,444,2060,233
1,1021,784,32,32,2031,276,2060,242
1,1021,800,32,32,2031,289,2060,253
1,1021,811,16,48,2030,480,2060,256
1,1040,1026,32,48,2030,444,2060,233
1,1040,1043,32,16,2031,276,2060,242
1,1040,1054,0,16,2031,286,2060,251
1,1040,1058,32,32,2031,289,2060,253
1,1040,1067,16,48,2030,480,2060,256
1,1041,1081,32,48,2030,444,2060,233
1,1041,1098,32,16,2031,276,2060,242
1,1041,1111,0,0,2031,286,2060,251
1,1041,1115,32,0,2031,289,2060,253
1,1060,0,32,16,2030,444,2060,233
1,1060,28,0,16,2031,286,2060,251
1,1060,41,16,16,2030,480,2060,256
1,1061,563,32,32,2030,444,2060,233
1,1061,604,16,16,2030,480,2060,256
1,1080,714,32,32,2030,444,2060,233
1,1080,734,0,16,2031,286,2060,251
1,1080,746,16,16,2030,480,2060,256
1,1081,618,32,48,2030,444,2060,233
1,1081,641,0,16,2031,286,2060,251
1,1081,653,16,32,2030,480,2060,256
1,2080,206,64,-16,2030,456,2060,242
1,2080,213,0,-64,2031,286,2060,251
1,2080,215,32,-16,2031,289,2060,253
1,2080,225,16,0,2030,480,2060,256
1,2081,421,64,-32,2030,456,2060,242
1,2081,428,0,-64,2031,286,2060,251
1,2081,430,80,16,2030,468,2060,253
1,2081,438,16,-48,2030,480,2060,256
2,1020,858,16,64,2031,352,2060,317
2,1020,878,48,48,2031,373,2060,334
2,1020,891,16,64,2031,378,2061,538
2,1021,748,16,64,2031,352,2060,317
2,1021,774,48,48,2031,373,2060,334
2,1040,1257,16,80,2031,352,2060,317
2,1040,1259,32,32,2031,355,2060,320
2,1040,1285,48,64,2031,373,2060,334
2,1040,1303,16,96,2031,378,2061,538
2,1040,1307,0,16,2030,310,2060,344
2,1041,66,16,48,2031,352,2060,317
2,1041,93,48,32,2031,373,2060,334
2,1041,111,16,96,2031,378,2061,538
2,1041,115,0,16,2030,310,2060,344
2,1060,1023,16,112,2031,352,2060,317
2,1060,1025,16,32,2031,353,2061,517
2,1060,1028,32,32,2031,355,2060,320
2,1060,1062,16,96,2031,378,2061,538
2,1060,1067,0,16,2030,310,2060,344
2,1061,1318,16,32,2031,353,2061,517
2,1061,1321,32,32,2031,355,2060,320
2,1061,1361,16,-16,2031,378,2061,538
2,1080,696,32,32,2031,355,2060,320
2,1080,731,-32,0,2031,378,2060,341
2,1081,803,32,16,2031,355,2060,320
2,1081,840,-32,-32,2031,378,2060,341
2,2010,495,32,48,2031,355,2060,320
2,2011,391,32,48,2031,355,2060,320
2,2080,260,16,-32,2031,352,2060,317
2,2080,279,-32,0,2031,378,2060,341
2,2080,280,16,-80,2031,380,2060,344
2,2081,467,16,-48,2031,352,2060,317
2,2081,469,16,0,2031,353,2061,517
2,2081,471,32,32,2031,355,2060,320
2,2081,487,-32,0,2031,378,2060,341
2,2081,488,16,-48,2031,380,2060,344
3,1020,22,80,80,2031,262,2060,212
3,1020,41,-96,-16,2030,547,2060,228
3,1020,44,64,32,2030,550,2060,230
3,1020,49,32,64,2030,554,2060,236
3,1021,1148,80,80,2031,262,2060,212
3,1021,1169,64,64,2030,550,2060,230
3,1040,840,32,32,2031,239,2060,201
3,1040,850,32,48,2031,247,2060,206
3,1040,855,32,32,2031,250,2060,210
3,1040,865,80,80,2031,262,2060,212
3,1040,882,64,48,2030,550,2060,230
3,1040,891,32,48,2030,554,2060,236
3,1041,897,32,32,2031,239,2060,201
3,1041,906,32,-160,2031,247,2060,206
3,1041,938,64,32,2030,550,2060,230
3,1041,945,32,48,2030,554,2060,236
3,1060,795,32,32,2031,247,2060,206
3,1060,800,32,32,2031,250,2060,210
3,1060,811,80,144,2031,262,2060,212
3,1060,822,64,32,2031,269,2060,224
3,1060,824,48,64,2030,544,2061,160
3,1060,830,-96,-16,2030,547,2060,228
3,1060,836,-32,16,2030,553,2060,234
3,1061,1073,32,32,2031,247,2060,206
3,1061,1078,32,32,2031,250,2060,210
3,1061,1107,64,48,2031,269,2060,224
3,1061,1109,48,48,2030,544,2061,160
3,1061,1115,64,32,2030,550,2060,230
3,1061,1120,-32,0,2030,553,2060,234
3,1080,1191,32,32,2031,247,2060,206
3,1080,1194,32,32,2031,250,2060,210
3,1080,1221,48,48,2030,544,2061,160
3,1080,1225,64,48,2030,550,2060,230
3,1080,1229,-32,-16,2030,553,2060,234
3,1081,1357,32,48,2031,239,2060,201
3,1081,1369,32,48,2031,247,2060,206
